Onset,Duration,Annotation
+0.294,,Marker:Markon:w
+30.0672796,,Marker:Markoff:w
+30.5649099,,Marker:Markon:w
+60.067,,Marker:Markoff:w
+60.636,,Marker:Markon:w
+90.067,,Marker:Markoff:w
+90.636,,Marker:Markon:w
+120.067,,Marker:Markoff:w
+120.636,,Marker:Markon:w
+150.067,,Marker:Markoff:w
+150.636,,Marker:Markon:w
+180.067,,Marker:Markoff:w
+180.636,,Marker:Markon:w
+210.067,,Marker:Markoff:w
+210.6367895,,Marker:Markon:1
+240.067,,Marker:Markoff:1
+240.636,,Marker:Markon:1
+270.067,,Marker:Markoff:1
+270.636,,Marker:Markon:1
+286.5763926,,spindle
+300.067,,Marker:Markoff:1
+300.636,,Marker:Markon:1
+309.6579672,,spindle
+330.067,,Marker:Markoff:1
+330.636,,Marker:Markon:1
+360.067,,Marker:Markoff:1
+360.636,,Marker:Markon:1
+390.067,,Marker:Markoff:1
+390.636,,Marker:Markon:1
+410.9565004,,spindle
+420.067,,Marker:Markoff:1
+420.636,,Marker:Markon:1
+450.067,,Marker:Markoff:1
+450.636,,Marker:Markon:1
+480.067,,Marker:Markoff:1
+480.636,,Marker:Markon:1
+510.067,,Marker:Markoff:1
+510.636,,Marker:Markon:1
+539.7457942,,spindle
+540.067,,Marker:Markoff:2
+540.636,,Marker:Markon:2
+547.6363968,,spindle
+565.9021923,,spindle
+570.067,,Marker:Markoff:2
+570.636,,Marker:Markon:2
+581.0479585,,spindle
+599.9280276,,k-complex
+600.067,,Marker:Markoff:2
+600.636,,Marker:Markon:2
+602.257622,,spindle
+618.5932562,,spindle
+625.3180189,,spindle
+630.067,,Marker:Markoff:2
+630.636,,Marker:Markon:2
+660.067,,Marker:Markoff:2
+660.636,,Marker:Markon:2
+661.2455427,,spindle
+690.067,,Marker:Markoff:2
+690.636,,Marker:Markon:2
+697.6596928,,spindle
+712.3024883,,k-complex
+720.067,,Marker:Markoff:2
+720.636,,Marker:Markon:2
+750.067,,Marker:Markoff:2
+750.636,,Marker:Markon:2
+766.3982605,,spindle
+771.4923071,,spindle
+780.067,,Marker:Markoff:2
+780.636,,Marker:Markon:2
+785.3326867,,spindle
+810.067,,Marker:Markoff:2
+810.0859223,,spindle
+810.636,,Marker:Markon:2
+826.9211251,,spindle
+840.067,,Marker:Markoff:2
+840.636,,Marker:Markon:2
+843.3654736,,spindle
+850.3723761,,spindle
+870.067,,Marker:Markoff:2
+870.636,,Marker:Markon:2
+871.649339,,spindle
+894.7226781,,spindle
+900.067,,Marker:Markoff:2
+900.636,,Marker:Markon:2
