Onset,Duration,Annotation
+0.726,,Marker:Markon:w
+30.5459052,,Marker:Markoff:w
+31.0198388,,Marker:Markon:w
+60.4605971,,Marker:Markoff:w
+60.9771848,,Marker:Markon:w
+90.545,,Marker:Markoff:w
+91.019,,Marker:Markon:w
+120.46,,Marker:Markoff:w
+120.977,,Marker:Markon:w
+150.545,,Marker:Markoff:w
+151.019,,Marker:Markon:w
+180.46,,Marker:Markoff:w
+180.967,,Marker:Markon:w
+210.532,,Marker:Markoff:w
+211.05,,Marker:Markon:w
+240.419,,Marker:Markoff:w
+240.988,,Marker:Markon:w
+270.545,,Marker:Markoff:w
+270.9979767,,Marker:Markon:1
+300.46,,Marker:Markoff:1
+301.041,,Marker:Markon:1
+302.1855308,,spindle
+330.4729421,,Marker:Markoff:1
+330.9647454,,Marker:Markon:1
+353.9580426,,spindle
+360.472,,Marker:Markoff:1
+361.0008326,,Marker:Markon:1
+375.0096117,,spindle
+382.8525798,,spindle
+390.472,,Marker:Markoff:1
+391,,Marker:Markon:1
+409.0320448,,spindle
+420.472,,Marker:Markoff:1
+421,,Marker:Markon:1
+421.5342018,,spindle
+430.6351509,,spindle
+437.6255806,,spindle
+449.987962,,spindle
+450.5418463,,Marker:Markoff:2
+450.9430543,,Marker:Markon:2
+464.3434408,,spindle
+480.541,,Marker:Markoff:2
+480.943,,Marker:Markon:2
+484.2355893,,spindle
+487.8076341,,spindle
+491.1156583,,spindle
+496.7040966,,spindle
+500.3537946,,spindle
+506.464327,,spindle
+510.541,,Marker:Markoff:2
+510.943,,Marker:Markon:2
+514.8576919,,spindle
+519.772,,k-complex
+535.070962,,spindle
+540.541,,Marker:Markoff:2
+540.943,,Marker:Markon:2
+543.1373127,,spindle
+547.9477393,,spindle
+552.6681184,,spindle
+556.3648009,,spindle
+559.2605355,,spindle
+563.6254644,,spindle
+570.541,,Marker:Markoff:2
+570.943,,Marker:Markon:2
+576.5259383,,spindle
+580.8576919,,spindle
+600.541,,Marker:Markoff:2
+600.943,,Marker:Markon:2
+605.3648009,,spindle
+612.1183554,,spindle
+617.1799668,,spindle
+621.7060331,,spindle
+626.1136161,,spindle
+630.541,,Marker:Markoff:2
+630.943,,Marker:Markon:2
+632.5306777,,spindle
+660.541,,Marker:Markoff:2
+660.943,,Marker:Markon:2
+666.2794928,,spindle
+669.8813886,,spindle
+674.5259383,,spindle
+677.2273601,,spindle
+682.2273601,,spindle
+686.8529526,,spindle
+690.1230947,,spindle
+690.541,,Marker:Markoff:2
+690.943,,Marker:Markon:2
+695.5306777,,spindle
+703.6775971,,spindle
+713.2937109,,spindle
+715.2747535,,spindle
+719.1373127,,spindle
