Onset,Duration,Annotation
+0.235,,Marker:Markon:w
+30.0408671,,Marker:Markoff:w
+30.3967773,,Marker:Markon:w
+60.04,,Marker:Markoff:w
+60.4472519,,Marker:Markon:w
+90.04,,Marker:Markoff:w
+90.4200733,,Marker:Markon:w
+120.04,,Marker:Markoff:w
+120.4084253,,Marker:Markon:w
+150.04,,Marker:Markoff:w
+150.506,,Marker:Markon:w
+180.0240995,,Marker:Markoff:w
+180.4150947,,Marker:Markon:w
+210.0406872,,Marker:Markoff:w
+210.415,,Marker:Markon:w
+240.024,,Marker:Markoff:w
+240.415,,Marker:Markon:w
+270.024,,Marker:Markoff:w
+270.426,,Marker:Markon:1
+300.024,,Marker:Markoff:1
+300.426,,Marker:Markon:1
+330.024,,Marker:Markoff:1
+330.426,,Marker:Markon:1
+360.024,,Marker:Markoff:1
+360.426,,Marker:Markon:1
+390.024,,Marker:Markoff:1
+390.426,,Marker:Markon:1
+420.024,,Marker:Markoff:1
+420.426,,Marker:Markon:1
+450.024,,Marker:Markoff:1
+450.426,,Marker:Markon:1
+480.024,,Marker:Markoff:1
+480.426,,Marker:Markon:1
+510.024,,Marker:Markoff:1
+510.426,,Marker:Markon:1
+540.024,,Marker:Markoff:1
+540.426,,Marker:Markon:1
+547.362962,,spindle
+570.024,,Marker:Markoff:1
+570.3714976,,spindle
+570.426,,Marker:Markon:1
+600.024,,Marker:Markoff:1
+600.426,,Marker:Markon:1
+630.024,,Marker:Markoff:1
+630.426,,Marker:Markon:1
+660.024,,Marker:Markoff:1
+660.426,,Marker:Markon:1
+690.024,,Marker:Markoff:1
+690.426,,Marker:Markon:1
+691.7245781,,spindle
+720.024,,Marker:Markoff:1
+720.426,,Marker:Markon:1
+750.024,,Marker:Markoff:1
+750.426,,Marker:Markon:1
+753.3786066,,spindle
+780.024,,Marker:Markoff:1
+780.426,,Marker:Markon:1
+810.024,,Marker:Markoff:1
+810.426,,Marker:Markon:1
+840.024,,Marker:Markoff:1
+840.426,,Marker:Markon:1
+846.0160473,,spindle
+870.024,,Marker:Markoff:1
+870.426,,Marker:Markon:1
+875.5515923,,spindle
+900.024,,Marker:Markoff:1
+900.426,,Marker:Markon:1
+908.0444833,,spindle
+930.024,,Marker:Markoff:1
+930.426,,Marker:Markon:1
+960.024,,Marker:Markoff:1
+960.426,,Marker:Markon:1
+971.2814502,,spindle
+975.2482748,,spindle
+990.024,,Marker:Markoff:1
+990.426,,Marker:Markon:1
+1010.8691278,,spindle
+1020.024,,Marker:Markoff:1
+1020.426,,Marker:Markon:1
+1050.024,,Marker:Markoff:1
+1050.426,,Marker:Markon:1
+1080.024,,Marker:Markoff:1
+1080.426,,Marker:Markon:1
+1110.024,,Marker:Markoff:1
+1110.426,,Marker:Markon:1
+1119.2553838,,spindle
+1140.024,,Marker:Markoff:1
+1140.426,,Marker:Markon:1
+1170.024,,Marker:Markoff:1
+1170.426,,Marker:Markon:1
+1200.024,,Marker:Markoff:1
+1200.426,,Marker:Markon:1
+1206.2269477,,spindle
+1230.024,,Marker:Markoff:1
+1230.426,,Marker:Markon:1
+1260.024,,Marker:Markoff:1
+1260.426,,Marker:Markon:1
+1290.024,,Marker:Markoff:1
+1290.426,,Marker:Markon:1
+1304.625052,,spindle
+1320.024,,Marker:Markoff:1
+1320.426,,Marker:Markon:1
+1350.024,,Marker:Markoff:1
+1350.426,,Marker:Markon:1
+1380.024,,Marker:Markoff:1
+1380.426,,Marker:Markon:1
+1410.024,,Marker:Markoff:1
+1410.426,,Marker:Markon:1
+1440.024,,Marker:Markoff:1
+1440.426,,Marker:Markon:1
+1470.024,,Marker:Markoff:1
+1470.426,,Marker:Markon:2
+1492.414,,spindle
+1492.4141515,,spindle
+1500.024,,Marker:Markoff:2
+1500.426,,Marker:Markon:2
+1528.2980378,,spindle
+1530.024,,Marker:Markoff:2
+1530.426,,Marker:Markon:2
+1534.5302653,,spindle
+1538.110834,,spindle
+1541.8904548,,spindle
+1555.2269477,,spindle
+1560.1032464,,Marker:Markoff:2
+1560.423,,Marker:Markon:1
+1590.103,,Marker:Markoff:1
+1590.423,,Marker:Markon:1
+1620.103,,Marker:Markoff:1
+1620.423,,Marker:Markon:1
+1650.103,,Marker:Markoff:1
+1650.423,,Marker:Markon:1
+1680.103,,Marker:Markoff:1
+1680.423,,Marker:Markon:1
+1710.103,,Marker:Markoff:1
+1710.423,,Marker:Markon:1
+1740.103,,Marker:Markoff:1
+1740.423,,Marker:Markon:1
+1770.103,,Marker:Markoff:1
+1770.423,,Marker:Markon:1
