Onset,Duration,Annotation
+0.022016,,Marker:Markon:w
+29.8083856,,Marker:Markoff:w
+30.306016,,Marker:Markon:w
+59.8324424,,Marker:Markoff:1
+60.3063761,,Marker:Markon:1
+89.832016,,Marker:Markoff:1
+90.306016,,Marker:Markon:1
+119.832016,,Marker:Markoff:1
+120.306016,,Marker:Markon:1
+149.832016,,Marker:Markoff:1
+150.306016,,Marker:Markon:1
+179.832016,,Marker:Markoff:1
+180.306016,,Marker:Markon:1
+209.832016,,Marker:Markoff:1
+210.306016,,Marker:Markon:1
+217.6096936,,spindle
+239.755016,,Marker:Markoff:1
+240.348016,,Marker:Markon:1
+269.755016,,Marker:Markoff:1
+270.348016,,Marker:Markon:1
+299.755016,,Marker:Markoff:1
+300.348016,,Marker:Markon:1
+303.2447647,,spindle
+329.755016,,Marker:Markoff:1
+330.348016,,Marker:Markon:1
+359.755016,,Marker:Markoff:1
+360.348016,,Marker:Markon:1
+389.755016,,Marker:Markoff:1
+390.348016,,Marker:Markon:1
+419.755016,,Marker:Markoff:1
+420.348016,,Marker:Markon:1
+449.755016,,Marker:Markoff:1
+450.348016,,Marker:Markon:1
+479.755016,,Marker:Markoff:1
+480.348016,,Marker:Markon:1
+509.755016,,Marker:Markoff:1
+510.348016,,Marker:Markon:1
+513.3101013,,spindle
+539.755016,,Marker:Markoff:1
+540.348016,,Marker:Markon:1
+560.2384878,,spindle
+563.3963825,,k-complex
+569.755016,,Marker:Markoff:2
+570.348016,,Marker:Markon:2
+572.8380936,,spindle
+599.755016,,Marker:Markoff:2
+600.348016,,Marker:Markon:2
+619.2022005,,spindle
+629.755016,,Marker:Markoff:2
+630.348016,,Marker:Markon:2
+648.0322265,,spindle
+659.755016,,Marker:Markoff:2
+660.348016,,Marker:Markon:2
+677.6465491,,spindle
+681.1927096,,spindle
+689.755016,,Marker:Markoff:2
+690.348016,,Marker:Markon:2
+691.7121229,,spindle
+700.098663,,spindle
+708.6223904,,spindle
+719.755016,,Marker:Markoff:2
+720.348016,,Marker:Markon:2
+749.755016,,Marker:Markoff:2
+750.348016,,Marker:Markon:2
+754.0417174,,spindle
+779.755016,,Marker:Markoff:2
+780.348016,,Marker:Markon:2
+791.1003886,,spindle
+809.755016,,Marker:Markoff:2
+810.348016,,Marker:Markon:2
+811.3549184,,spindle
+822.5499141,,spindle
+826.6137622,,spindle
+834.933003,,spindle
