Onset,Duration,Annotation
+0.106,,Marker:Markon:w
+29.7892151,,Marker:Markoff:w
+30.3802316,,Marker:Markon:w
+59.8837777,,Marker:Markoff:w
+60.3684112,,Marker:Markon:w
+89.789,,Marker:Markoff:w
+90.38,,Marker:Markon:w
+119.883,,Marker:Markoff:w
+120.368,,Marker:Markon:w
+149.789,,Marker:Markoff:w
+150.38,,Marker:Markon:w
+179.883,,Marker:Markoff:w
+180.368,,Marker:Markon:w
+209.883,,Marker:Markoff:w
+210.368,,Marker:Markon:w
+239.883,,Marker:Markoff:w
+240.391,,Marker:Markon:1
+269.883,,Marker:Markoff:1
+270.368,,Marker:Markon:1
+299.883,,Marker:Markoff:1
+300.368,,Marker:Markon:1
+329.883,,Marker:Markoff:1
+330.368,,Marker:Markon:1
+359.878,,Marker:Markoff:1
+360.41,,Marker:Markon:1
+389.913,,Marker:Markoff:1
+390.287,,Marker:Markon:1
+419.913,,Marker:Markoff:1
+420.303,,Marker:Markon:1
+449.78,,Marker:Markoff:1
+450.392,,Marker:Markon:1
+479.878,,Marker:Markoff:1
+480.439,,Marker:Markon:1
+509.834,,Marker:Markoff:1
+510.4636451,,Marker:Markon:1
+539.7569716,,spindle
+539.956,,Marker:Markoff:1
+540.407,,Marker:Markon:1
+558.7782482,,spindle
+569.9067419,,Marker:Markoff:1
+570.3422258,,Marker:Markon:1
+588.4472789,,spindle
+590.5985791,,spindle
+599.956,,Marker:Markoff:1
+600.407,,Marker:Markon:1
+606.5891229,,spindle
+629.878,,Marker:Markoff:1
+630.439,,Marker:Markon:1
+635.4803758,,spindle
+649.1328581,,spindle
+659.956,,Marker:Markoff:1
+660.2860322,,Marker:Markon:2
+689.878,,Marker:Markoff:1
+690.3376774,,Marker:Markon:1
+719.853,,Marker:Markoff:1
+720.407,,Marker:Markon:2
+732.4685555,,k-complex
+744.2409032,,spindle
+749.878,,Marker:Markoff:2
+750.439,,Marker:Markon:2
+760.6925161,,spindle
+771.9910141,,spindle
+775.2061442,,spindle
+779.956,,Marker:Markoff:2
+780.3527163,,spindle
+780.407,,Marker:Markon:2
+792.208,,k-complex
+795.7731612,,spindle
+809.878,,Marker:Markoff:2
+810.3860645,,Marker:Markon:2
+827.950825,,spindle
+839.9021935,,Marker:Markoff:2
+840.3618709,,Marker:Markon:2
+842.5016524,,spindle
+855.7758841,,k-complex
+857.5725744,,spindle
+861.0231612,,spindle
+869.878,,Marker:Markoff:2
+870.439,,Marker:Markon:2
+899.956,,Marker:Markoff:2
+900.407,,Marker:Markon:2
+915.0473548,,spindle
+929.878,,Marker:Markoff:2
+930.439,,Marker:Markon:2
+935.7812258,,k-complex
+943.6199354,,spindle
+945.095033,,spindle
+959.956,,Marker:Markoff:2
+960.3376774,,Marker:Markon:2
+966.2167096,,spindle
+971.0554193,,spindle
+973.1092174,,spindle
+989.878,,Marker:Markoff:2
+990.410258,,Marker:Markon:2
+1019.956,,Marker:Markoff:2
+1020.407,,Marker:Markon:2
+1041.7924326,,k-complex
+1043.9747741,,spindle
+1049.878,,Marker:Markoff:2
+1050.3906129,,Marker:Markon:2
+1069.4505806,,spindle
+1078.5957419,,spindle
+1079.878,,Marker:Markoff:2
+1080.39,,Marker:Markon:2
+1084.7409032,,spindle
+1087.9828387,,spindle
+1109.878,,Marker:Markoff:2
+1110.39,,Marker:Markon:2
+1118.0312258,,spindle
+1128.9425161,,spindle
+1139.878,,Marker:Markoff:2
+1140.39,,Marker:Markon:2
+1169.878,,Marker:Markoff:2
+1170.39,,Marker:Markon:2
+1186.9344516,,spindle
+1190.4425161,,spindle
+1199.878,,Marker:Markoff:2
+1200.39,,Marker:Markon:SWS
+1208.5150967,,spindle
+1229.878,,Marker:Markoff:SWS
+1230.39,,Marker:Markon:SWS
+1236.0231612,,spindle
+1251.4828387,,spindle
+1259.878,,Marker:Markoff:SWS
+1260.39,,Marker:Markon:SWS
+1260.4344516,,spindle
+1278.0473548,,spindle
+1289.878,,Marker:Markoff:SWS
+1290.39,,Marker:Markon:SWS
+1311.9183225,,spindle
+1319.878,,Marker:Markoff:SWS
+1320.39,,Marker:Markon:SWS
+1349.878,,Marker:Markoff:SWS
+1350.39,,Marker:Markon:SWS
+1375.7690322,,spindle
+1379.878,,Marker:Markoff:SWS
+1380.39,,Marker:Markon:SWS
+1390.2609677,,spindle
+1409.878,,Marker:Markoff:SWS
+1410.39,,Marker:Markon:SWS
+1413.8496774,,spindle
+1439.878,,Marker:Markoff:SWS
+1440.39,,Marker:Markon:SWS
+1469.878,,Marker:Markoff:SWS
+1470.39,,Marker:Markon:SWS
+1499.878,,Marker:Markoff:SWS
+1500.39,,Marker:Markon:SWS
+1529.878,,Marker:Markoff:SWS
+1530.39,,Marker:Markon:SWS
+1559.878,,Marker:Markoff:SWS
+1560.39,,Marker:Markon:SWS
+1580.849,,spindle
+1589.878,,Marker:Markoff:SWS
+1590.39,,Marker:Markon:SWS
+1602.4867741,,spindle
+1619.878,,Marker:Markoff:SWS
+1620.39,,Marker:Markon:SWS
+1649.878,,Marker:Markoff:SWS
+1650.39,,Marker:Markon:SWS
+1662.1964516,,spindle
+1679.878,,Marker:Markoff:SWS
+1680.39,,Marker:Markon:SWS
+1709.878,,Marker:Markoff:SWS
+1710.39,,Marker:Markon:SWS
+1739.878,,Marker:Markoff:SWS
+1740.39,,Marker:Markon:SWS
+1747.0432258,,spindle
+1769.878,,Marker:Markoff:SWS
+1770.39,,Marker:Markon:SWS
