Onset,Duration,Annotation
+0.537,,Marker:Markon:w
+30.3360543,,Marker:Markoff:w
+30.7379456,,Marker:Markon:w
+60.336,,Marker:Markoff:w
+60.737,,Marker:Markon:w
+90.336,,Marker:Markoff:w
+90.737,,Marker:Markon:w
+120.336,,Marker:Markoff:w
+120.737,,Marker:Markon:w
+150.336,,Marker:Markoff:w
+150.719,,Marker:Markon:w
+180.376,,Marker:Markoff:w
+180.763,,Marker:Markon:1
+210.336,,Marker:Markoff:1
+210.763,,Marker:Markon:1
+240.336,,Marker:Markoff:1
+240.763,,Marker:Markon:1
+270.336,,Marker:Markoff:1
+270.763,,Marker:Markon:1
+300.336,,Marker:Markoff:1
+300.763,,Marker:Markon:1
+312.4782717,,spindle
+324.084513,,splindle
+330.369,,Marker:Markoff:1
+330.749,,Marker:Markon:1
+358.7871587,,spindle
+360.369,,Marker:Markoff:2
+360.749,,Marker:Markon:2
+366.787,,spindle
+390.369,,Marker:Markoff:2
+390.749,,Marker:Markon:2
+400.4938024,,spindle
+409.5205495,,spindle
+412.4661923,,spindle
+420.369,,Marker:Markoff:1
+420.369,,Marker:Markoff:2
+420.749,,Marker:Markon:2
+432.0882803,,spindle
+439.4825858,,spindle
+450.369,,Marker:Markoff:2
+450.749,,Marker:Markon:2
+454.6214986,,k-complex
+477.4653295,,spindle
+480.369,,Marker:Markoff:2
+480.749,,Marker:Markon:2
+494.4834486,,spindle
+502.9856056,,spindle
+510.369,,Marker:Markoff:2
+510.749,,Marker:Markon:2
+514.2263304,,spindle
+521.4394451,,spindle
+529.6724046,,spindle
+538.4472105,,spindle
+540.369,,Marker:Markoff:2
+540.749,,Marker:Markon:2
+542.5024305,,spindle
+559.2772363,,spindle
+570.369,,Marker:Markoff:2
+570.749,,Marker:Markon:2
+585.0701613,,spindle
+595.6896608,,spindle
+600.369,,Marker:Markoff:2
+600.749,,Marker:Markon:2
+603.06671,,spindle
+609.3100232,,spindle
+612.4299542,,spindle
+618.7560974,,spindle
+630.369,,Marker:Markoff:2
+630.749,,Marker:Markon:2
+637.7431552,,spindle
+641.2979439,,spindle
+645.1736988,,spindle
+650.2401354,,spindle
+660.369,,Marker:Markoff:2
+660.749,,Marker:Markon:2
+666.034786,,spindle
+669.3773226,,spindle
+677.8259853,,spindle
+690.369,,Marker:Markoff:2
+690.749,,Marker:Markon:2
+692.2263304,,spindle
+706.5852605,,spindle
+710.481723,,spindle
+713.8950103,,spindle
+719.0132156,,k-complex
+720.369,,Marker:Markoff:2
+720.749,,Marker:Markon:2
+742.8768912,,spindle
+745.6551483,,spindle
+749.9001872,,spindle
+750.369,,Marker:Markoff:2
+750.749,,Marker:Markon:2
+753.8863822,,spindle
+780.369,,Marker:Markoff:2
+780.749,,Marker:Markon:2
+799.5188239,,spindle
+810.369,,Marker:Markoff:2
+810.749,,Marker:Markon:2
+812.9821544,,spindle
+817.5843977,,spindle
+840.1918179,,k-complex
+840.369,,Marker:Markoff:2
+840.749,,Marker:Markon:2
+845.276,,spindle
+866.2763735,,spindle
+870.369,,Marker:Markoff:2
+870.749,,Marker:Markon:2
+885.4152864,,spindle
+894.5007049,,spindle
+899.7051915,,spindle
+900.369,,Marker:Markoff:2
+900.749,,Marker:Markon:2
+923.0856919,,spindle
+926.5714555,,spindle
+930.369,,Marker:Markoff:2
+930.749,,Marker:Markon:2
+937.3963045,,spindle
+947.6551483,,spindle
+952.84583,,spindle
+960.369,,Marker:Markoff:2
+960.749,,Marker:Markon:2
+990.369,,Marker:Markoff:2
+990.749,,Marker:Markon:2
+1020.369,,Marker:Markoff:2
+1020.749,,Marker:Markon:2
+1035.5705927,,spindle
+1048.034786,,spindle
+1050.369,,Marker:Markoff:2
+1050.749,,Marker:Markon:2
+1050.8993244,,spindle
+1055.4843114,,spindle
+1061.0925944,,spindle
+1068.3298679,,spindle
+1073.9640353,,spindle
+1080.369,,Marker:Markoff:2
+1080.749,,Marker:Markon:2
+1081.6775815,,spindle
+1085.6741302,,spindle
+1094.0520422,,spindle
+1110.369,,Marker:Markoff:2
+1110.749,,Marker:Markon:2
+1112.2573917,,spindle
+1116.0019991,,spindle
+1123.8984615,,spindle
+1134.467918,,spindle
+1140.369,,Marker:Markoff:2
+1140.749,,Marker:Markon:2
+1149.1063994,,spindle
+1152.481723,,spindle
+1154.9493675,,spindle
+1157.3997558,,spindle
+1167.7086427,,spindle
+1170.369,,Marker:Markoff:2
+1170.749,,Marker:Markon:2
+1186.467918,,spindle
+1190.0572191,,spindle
+1200.369,,Marker:Markoff:2
+1200.749,,Marker:Markon:2
+1201.347987,,spindle
+1210.4661923,,spindle
+1215.5861233,,spindle
+1219.7569602,,spindle
+1230.369,,Marker:Markoff:2
+1230.749,,Marker:Markon:2
+1254.8164942,,spindle
+1260.369,,Marker:Markoff:2
+1260.749,,Marker:Markon:2
+1265.8156314,,k-complex
+1284.5697298,,k-complex
