Onset,Duration,Annotation
+0.0177090,,Markon: w
+29.9458730,,Markoff: w
+30.0354180,,Markon: w
+59.9635820,,Markoff: w
+60.0170000,,Markon: 1
+89.9450000,,Markoff: 1
+90.0177090,,Markon: w
+119.9812910,,Markoff: w
+120.0354180,,Markon: w
+149.9104550,,Markoff: w
+150.0000000,,Markon: 1
+179.9104550,,Markoff: 1
+180.0354180,,Markon: 1
+209.9281640,,Markoff: 1
+210.0170000,,Markon: 1
+239.9450000,,Markoff: 1
+240.0170000,,Markon: 1
+269.8570000,,Markoff: 1
+270.0170000,,Markon: 1
+289.4870000,,spindle
+296.9730000,,spindle
+299.9450000,,Markoff: 1
+300.0531270,,Markon: w
+329.9104550,,Markoff: w
+330.0354180,,Markon: 1
+359.9812910,,Markoff: 1
+360.0530000,,Markon: 1
+389.9810000,,Markoff: 1
+390.0000000,,Markon: 2
+392.1960000,,spindle
+419.9281640,,Markoff: 2
+420.0000000,,Markon: 2
+420.8220000,,Markoff: 2
+449.9281640,,Markoff: 2
+450.0530000,,Markon: 1
+479.9810000,,Markoff: 1
+480.0000000,,Markon: 1
+509.9450000,,Markoff: 1
+510.0000000,,Markon: 2
+512.9810000,,spindle
+536.4480000,,spindle
+539.9458730,,Markoff: 2
+540.0170000,,Markon: w
+569.9630000,,Markoff: w
+570.0177090,,Markon: 2
+590.4480000,,spindle
+599.8927460,,Markoff: 2
+600.0700000,,Markon: 1
+629.9280000,,Markoff: 1
+630.0531270,,Markon: 2
+648.9620000,,spindle
+659.8927460,,Markoff: 2
+660.0708360,,Markon: 2
+687.8780000,,spindle
+689.9281640,,Markoff: 2
+690.0354180,,Markon: 2
+719.9812910,,Markoff: 2
+720.0708360,,Markon: 2
+732.9620000,,spindle
+749.9281640,,Markoff: 2
+750.0980000,,Markon: 1
+779.9820000,,Markoff: 1
+780.0530000,,Markon: w
+809.9450000,,Markoff: w
+810.0354180,,Markon: 2
+811.6630000,,spindle
+821.1960000,,spindle
+830.1960000,,spindle
+839.9812910,,Markoff: 2
+840.0531270,,Markon: 2
+847.9150000,,spindle
+865.7470000,,spindle
+869.3080000,,spindle
+869.9812910,,Markoff: 2
+870.0177090,,Markon: 2
+899.9635820,,Markoff: 2
+900.0170000,,Markon: 1
+922.3270000,,spindle
+925.3270000,,spindle
+928.4950000,,spindle
+929.9450000,,Markoff: 1
+930.0700000,,Markon: 2
+959.9630000,,Markoff: 2
+960.0000000,,Markon: 2
+976.5230000,,k-complex
+976.9430000,,spindle
+980.8410000,,k-complex
+989.9630000,,Markoff: 2
+990.0520000,,Markon: 2
+990.9620000,,spindle
+1008.4290000,,spindle
+1019.9270000,,Markoff: 2
+1049.9810000,,Markoff: 1
+1050.0490000,,Markon: 2
+1062.9670000,,spindle
+1062.9670000,,Markon: 1
+1074.4290000,,spindle
+1079.9330000,,Markoff: 2
+1080.0160000,,Markon: 2
+1093.9480000,,spindle
+1097.5370000,,spindle
+1109.9000000,,Markoff: 2
+1110.0000000,,Markon: 2
+1139.9320000,,Markoff: 2
+1140.0490000,,Markon: 1
+1169.9650000,,Markoff: 1
+1170.0320000,,Markon: 2
+1174.1910000,,spindle
+1176.4290000,,spindle
+1182.1820000,,spindle
+1184.4530000,,k-complex
+1199.9660000,,Markoff: 2
+1200.0000000,,Markon: 2
+1201.6350000,,spindle
+1202.3920000,,k-complex
+1229.3640000,,k-complex
+1229.9320000,,Markoff: 2
+1230.0330000,,Markon: 2
+1250.7050000,,spindle
+1250.8970000,,k-complex
+1253.3080000,,k-complex
+1259.9150000,,Markoff: 2
+1260.0354180,,Markon: 2
+1276.4990000,,spindle
+1289.8927460,,Markoff: 2
+1290.0177090,,Markon: 2
+1293.7940000,,spindle
+1299.9670000,,spindle
+1319.9281640,,Markoff: 2
+1320.0368730,,Markon: 3
+1323.4570000,,spindle
+1332.3730000,,spindle
+1345.6350000,,spindle
+1349.9230000,,Markoff: 2
+1350.0200000,,Markon: 2
+1356.3730000,,spindle
+1367.7850000,,spindle
+1373.7000000,,spindle
+1376.1400000,,spindle
+1380.0390000,,Markoff: 2
+1380.1440000,,Markon: r
+1380.1440000,,Markon: r
+1410.0580000,,Markoff: r
+1410.1470000,,Markon: r
+1439.7320000,,Markoff: r
+1439.8160000,,Markon: r
+1469.7325140,,Markoff: REM
+1469.7610000,,Markon: w
+1500.0690000,,Markoff: w
+1500.1610000,,Markon: w
+1530.0980000,,Markoff: w
+1530.1350000,,Markon: 1
+1560.0280000,,Markoff: 1
+1560.1000000,,Markon: 1
+1580.3360000,,spindle
+1590.0280000,,Markoff: 1
+1590.1177460,,Markon: 2
+1593.5980000,,spindle
+1595.7880000,0.505000,k-complex
+1600.3830000,,spindle
+1612.3830000,,spindle
+1620.0459100,,Markoff: 2
+1620.1478650,,Markon: REM
+1649.6993660,,Markoff: REM
+1649.7610000,,Markon: 1
+1679.9710000,,Markoff: 1
+1680.1350000,,Markon: w
+1709.9920000,,Markoff: w
+1710.0820000,,Markon: 1
+1740.0280000,,Markoff: 1
+1740.1531640,,Markon: 2
+1770.0282010,,Markoff: 2
+1770.1354550,,Markon: 2
+1799.9927830,,Markoff: 2
+1800.2354920,,Markon: 2
+1806.2050000,,spindle
+1808.1400000,,spindle
+1812.6820000,,spindle
+1814.5040000,,spindle
+1830.1813650,,Markoff: 2
+1830.2177830,,Markon: 2
+1858.2990000,,spindle
+1860.1990740,,Markoff: 2
+1860.2530000,,Markon: 1
+1890.1450000,,Markoff: 1
+1890.2170000,,Markon: 1
+1920.1280000,,Markoff: 1
+1920.2530000,,Markon: 1
+1938.4290000,0.252000,spindle
+1941.2610000,0.252000,spindle
+1945.6350000,0.252000,spindle
+1950.1280000,,Markoff: 1
+1950.2530000,,Markon: 1
+1980.1810000,,Markoff: 1
+1980.2140000,,Markon: w
+1981.6070000,0.252000,spindle
+2010.2840000,,Markoff: w
+2010.3700000,,Markon: 1
+2040.2630000,,Markoff: 1
+2040.3532380,,Markon: 2
+2049.7100000,0.252000,spindle
+2070.2636940,,Markoff: 2
+2070.3530000,,Markon: 1
+2100.3340000,,Markoff: 1
+2100.3700000,,Markon: 1
+2130.3160000,,Markoff: 1
+2130.3700000,,Markon: 2
+2132.3110000,,spindle
+2142.1240000,,spindle
+2160.2105670,,Markoff: 2
+2160.3530000,,Markon: 1
+2190.2280000,,Markoff: 1
+2190.3530000,,Markon: 2
+2203.4110000,0.252000,spindle
+2220.2450000,,Markoff: 2
+2220.3709470,,Markon: w
+2250.2991120,,Markoff: w
+2250.3880000,,Markon: 1
+2280.2810000,,Markoff: 1
+2280.3880000,,Markon: 1
+2310.2450000,,Markoff: 1
+2310.3700000,,Markon: w
+2340.2630000,,Markoff: w
+2340.3530000,,Markon: 1
+2357.0840000,0.252000,spindle
+2363.6482897,0.252000,spindle
+2370.3160000,,Markoff: 1
+2385.4240000,,Markon: 1
+2400.2280000,,Markoff: 1
+2400.2530000,,Markon: 1
+2428.4660000,0.252000,spindle
+2430.3640000,,Markoff: 1
+2430.3886560,,Markon: 2
+2434.7750000,0.252000,spindle
+2435.1120000,0.252000,k-complex
+2436.6540000,0.252000,k-complex
+2446.1300000,0.252000,k-complex
+2460.1928580,,Markoff: 2
+2460.2151250,,Markon: 2
+2481.3450000,0.252000,spindle
+2484.7940000,0.252000,spindle
+2484.7940000,0.252000,spindle
+2490.2583900,,Markoff: 2
+2490.3532380,,Markon: 2
+2494.4380000,0.252000,spindle
+2497.5510000,0.252000,spindle
+2515.3270000,0.252000,k-complex
+2520.3345300,,Markoff: 2
+2532.2610000,0.252000,spindle
+2535.2610000,0.252000,spindle
+2550.2814030,,Markoff: 2
+2550.3700000,,Markon: 2
+2550.4060000,,Markon: 1
+2580.3160000,,Markoff: 1
+2580.4240000,,Markon: 1
+2610.2630000,,Markoff: 1
+2635.7340000,,Markon: 1
+2640.3160000,,Markoff: 1
+2640.3700000,,Markon: 1
+2670.3340000,,Markoff: 1
+2670.4063650,,Markon: 2
+2675.8290000,,k-complex
+2700.2990000,,Markoff: 1
+2700.3880000,,Markon: 1
+2730.3345300,,Markoff: 2
+2730.3532380,,Markon: 2
+2760.2814030,,Markoff: 2
+2760.3030000,,Markon: 1
+2790.2810000,,Markoff: 1
+2790.3886560,,Markon: 2
+2820.2991120,,Markoff: 2
+2820.4060000,,Markon: 1
+2850.3160000,,Markoff: 1
+2850.3530000,,Markon: 1
+2880.3160000,,Markoff: 1
+2880.3700000,,Markon: 1
+2910.2450000,,Markoff: 1
+2910.4410000,,Markon: 1
+2940.2990000,,Markoff: 1
+2940.3880000,,Markon: w
+2970.2810000,,Markoff: w
+2970.3880000,,Markon: 1
+3000.2810000,,Markoff: 1
+3000.3700000,,Markon: 1
+3030.2450000,,Markoff: 1
+3030.3880000,,Markon: 1
+3060.3340000,,Markoff: 1
+3060.3700000,,Markon: 1
+3090.2630000,,Markoff: 1
+3090.3880000,,Markon: 1
+3120.2100000,,Markoff: 1
+3120.3532380,,Markon: w
+3150.2991120,,Markoff: w
+3150.4060000,,Markon: w
+3180.2450000,,Markoff: w
+3180.3700000,,Markon: 1
+3210.2450000,,Markoff: 1
+3210.3530000,,Markon: 1
+3211.0170000,,spindle
+3240.3340000,,Markoff: 1
+3240.4063650,,Markon: 2
+3251.4750000,,spindle
+3270.2459850,,Markoff: 2
+3270.3709470,,Markon: 2
+3288.2880000,,spindle
+3300.3168210,,Markoff: 2
+3300.3532380,,Markon: 2
+3301.4100000,,k-complex
+3314.7840000,,k-complex
+3314.7840000,,k-complex
+3330.2991120,,Markoff: 2
+3330.3530000,,Markon: 1
+3360.2450000,,Markoff: 1
+3360.4060000,,Markon: 1
+3390.2630000,,Markoff: 1
+3390.4240000,,Markon: w
+3420.2450000,,Markoff: w
+3420.4240000,,Markon: 1
+3450.3160000,,Markoff: 1
+3450.3532380,,Markon: 2
+3480.3160000,,Markoff: 2
+3480.3700000,,Markon: 1
+3510.2810000,,Markoff: 1
+3510.3030000,,Markon: 1
+3540.4790000,,Markoff: 1
+3540.6260000,,Markon: 1
+3567.2320000,,spindle
+3570.5260000,,Markoff: 1
+3570.6100000,,Markon: 2
+3600.5924260,,Markoff: 2
+3600.6590000,,Markon: w
+3630.5920000,,Markoff: w
+3630.6260000,,Markon: 1
+3660.5750000,,Markoff: 1
+3660.6762960,,Markon: 2
+3681.8210000,,k-complex
+3689.3070000,,k-complex
+3690.5758520,,Markoff: 2
+3690.6060700,,Markon: 2
+3703.6664080,,Markoff: 2
