Onset,Duration,Annotation
+0.231,,Marker:Markon:w
+29.9535224,,Marker:Markoff:w
+30.5681796,,Marker:Markon:w
+59.953,,Marker:Markoff:w
+60.58,,Marker:Markon:w
+89.953,,Marker:Markoff:w
+90.58,,Marker:Markon:w
+119.953,,Marker:Markoff:w
+120.58,,Marker:Markon:1
+149.953,,Marker:Markoff:1
+150.58,,Marker:Markon:1
+179.953,,Marker:Markoff:1
+180.58,,Marker:Markon:1
+209.953,,Marker:Markoff:1
+210.58,,Marker:Markon:1
+239.953,,Marker:Markoff:1
+240.58,,Marker:Markon:1
+269.953,,Marker:Markoff:1
+270.58,,Marker:Markon:1
+299.953,,Marker:Markoff:1
+300.58,,Marker:Markon:1
+329.953,,Marker:Markoff:1
+330.58,,Marker:Markon:1
+359.953,,Marker:Markoff:1
+360.58,,Marker:Markon:1
+389.953,,Marker:Markoff:1
+390.58,,Marker:Markon:1
+419.953,,Marker:Markoff:1
+420.58,,Marker:Markon:1
+449.953,,Marker:Markoff:1
+450.58,,Marker:Markon:1
+479.953,,Marker:Markoff:1
+480.58,,Marker:Markon:1
+509.953,,Marker:Markoff:1
+510.58,,Marker:Markon:1
+511.2002344,,spindle
+515.2,,spindle
+539.953,,Marker:Markoff:2
+540.58,,Marker:Markon:2
+560.6497598,,spindle
+568.09152,,spindle
+569.953,,Marker:Markoff:2
+570.58,,Marker:Markon:2
+578.1868222,,spindle
+595.6636241,,spindle
+599.953,,Marker:Markoff:2
+600.58,,Marker:Markon:2
+629.953,,Marker:Markoff:2
+630.58,,Marker:Markon:2
+637.0899223,,k-complex
+659.953,,Marker:Markoff:2
+660.1989016,,spindle
+660.58,,Marker:Markon:2
+676.5138283,,spindle
+687.2196091,,spindle
+689.575088,,spindle
+689.953,,Marker:Markoff:2
+690.58,,Marker:Markon:2
+692.5000232,,spindle
+695.0625772,,spindle
+700.1799197,,spindle
+702.224786,,spindle
+719.953,,Marker:Markoff:2
+720.58,,Marker:Markon:2
+729.0099456,,spindle
+741.4473916,,spindle
+748.9228015,,spindle
+749.953,,Marker:Markoff:2
+750.58,,Marker:Markon:2
+762.7321199,,spindle
+765.3205582,,spindle
+768.5742251,,spindle
+779.953,,Marker:Markoff:2
+780.58,,Marker:Markon:2
+809.953,,Marker:Markoff:2
+810.58,,Marker:Markon:2
+815.2023528,,spindle
+826.3248722,,spindle
+829.6639576,,spindle
+834.0565375,,spindle
+839.953,,Marker:Markoff:2
+840.58,,Marker:Markon:2
+842.6190914,,spindle
+852.266201,,spindle
+860.266,,spindle
+869.953,,Marker:Markoff:2
+870.266,,spindle
+870.58,,Marker:Markon:2
+872.7743977,,spindle
+875.3861319,,spindle
+881.5621457,,spindle
+899.953,,Marker:Markoff:2
+900.58,,Marker:Markon:2
+906.4913951,,spindle
+920.7692208,,spindle
+929.953,,Marker:Markoff:2
+930.58,,Marker:Markon:2
+935.1246997,,spindle
+943.7882027,,spindle
+959.953,,Marker:Markoff:2
+960.58,,Marker:Markon:2
+961.9719818,,spindle
+964.1902734,,spindle
+977.280006,,spindle
+989.953,,Marker:Markoff:2
+990.58,,Marker:Markon:2
+1004.906408,,spindle
+1008.0280646,,spindle
+1016.2592985,,spindle
+1019.953,,Marker:Markoff:2
+1020.58,,Marker:Markon:2
+1033.0116712,,spindle
+1046.3835435,,spindle
+1048.1695659,,spindle
+1049.953,,Marker:Markoff:2
+1050.58,,Marker:Markon:2
+1079.5155539,,spindle
+1079.953,,Marker:Markoff:2
+1080.58,,Marker:Markon:2
+1081.5604201,,spindle
+1097.1997644,,spindle
+1108.7700836,,spindle
+1109.953,,Marker:Markoff:2
+1110.58,,Marker:Markon:2
+1117.7933796,,spindle
+1139.953,,Marker:Markoff:2
+1140.58,,Marker:Markon:2
+1169.3033019,,spindle
+1169.953,,Marker:Markoff:2
+1170.58,,Marker:Markon:2
+1172.487081,,spindle
+1191.1911363,,spindle
+1196.1505841,,spindle
+1198.4025254,,spindle
+1199.953,,Marker:Markoff:2
+1200.58,,Marker:Markon:2
+1205.1065806,,spindle
+1214.9504115,,spindle
+1218.9883753,,spindle
+1229.953,,Marker:Markoff:2
+1230.58,,Marker:Markon:2
+1231.1410931,,spindle
+1244.7252174,,spindle
+1252.1540353,,spindle
+1255.8425599,,spindle
+1259.953,,Marker:Markoff:2
+1260.58,,Marker:Markon:2
+1265.7899283,,spindle
+1269.5172795,,spindle
+1289.953,,Marker:Markoff:2
+1290.58,,Marker:Markon:2
+1314.5172795,,spindle
+1319.953,,Marker:Markoff:2
+1320.58,,Marker:Markon:2
+1320.8071846,,spindle
+1336.2265116,,spindle
+1349.953,,Marker:Markoff:2
+1350.58,,Marker:Markon:2
+1362.3309119,,spindle
+1379.953,,Marker:Markoff:2
+1380.58,,Marker:Markon:2
+1383.0901872,,spindle
+1386.325735,,spindle
+1408.14627,,spindle
+1409.953,,Marker:Markoff:2
+1410.58,,Marker:Markon:2
+1439.953,,Marker:Markoff:2
+1440.58,,Marker:Markon:2
+1449.6285823,,spindle
+1469.953,,Marker:Markoff:2
+1470.58,,Marker:Markon:2
+1473.1885478,,spindle
+1482.1652519,,spindle
+1499.953,,Marker:Markoff:2
+1500.58,,Marker:Markon:2
+1509.1937247,,spindle
+1529.953,,Marker:Markoff:2
+1530.58,,Marker:Markon:2
+1546.5837161,,spindle
+1559.953,,Marker:Markoff:2
+1560.58,,Marker:Markon:2
+1569.9909637,,k-complex
+1573.4568826,,k-complex
+1573.556,,spindle
+1586.1816453,,spindle
+1589.953,,Marker:Markoff:2
+1590.58,,Marker:Markon:2
+1606.3274607,,k-complex
+1606.7157264,,spindle
+1611.4629223,,spindle
