Onset,Duration,Annotation
+0.488,,Marker:Markon:w
+30.2162139,,Marker:Markoff:w
+30.7339016,,Marker:Markon:w
+60.2116729,,Marker:Markoff:w
+60.733,,Marker:Markon:w
+90.211,,Marker:Markoff:w
+90.733,,Marker:Markon:w
+90.733,,Marker:Markon:1
+120.211,,Marker:Markoff:1
+120.733,,Marker:Markon:1
+150.211,,Marker:Markoff:1
+150.733,,Marker:Markon:1
+180.211,,Marker:Markoff:1
+180.733,,Marker:Markon:1
+210.2726113,,Marker:Markoff:1
+210.7702417,,Marker:Markon:1
+240.211,,Marker:Markoff:1
+240.733,,Marker:Markon:1
+270.272,,Marker:Markoff:1
+270.733,,Marker:Markon:1
+300.211,,Marker:Markoff:1
+300.733,,Marker:Markon:1
+330.272,,Marker:Markoff:1
+330.733,,Marker:Markon:1
+360.211,,Marker:Markoff:1
+360.733,,Marker:Markon:1
+390.272,,Marker:Markoff:1
+390.733,,Marker:Markon:w
+420.211,,Marker:Markoff:w
+420.733,,Marker:Markon:w
+450.272,,Marker:Markoff:w
+450.733,,Marker:Markon:w
+480.211,,Marker:Markoff:w
+480.733,,Marker:Markon:w
+510.272,,Marker:Markoff:w
+510.733,,Marker:Markon:w
+540.211,,Marker:Markoff:w
+540.733,,Marker:Markon:1
+570.2306303,,Marker:Markoff:1
+570.7282606,,Marker:Markon:1
+600.2967203,,Marker:Markoff:1
+600.728,,Marker:Markon:1
+630.242,,Marker:Markoff:1
+630.728,,Marker:Markon:1
+630.728,,Marker:Markon:1
+643.4562122,,spindle
+660.296,,Marker:Markoff:1
+660.728,,Marker:Markon:1
+690.211,,Marker:Markoff:1
+690.728,,Marker:Markon:1
+719.5242085,,spindle
+720.306,,Marker:Markoff:1
+720.709,,Marker:Markon:1
+720.9365307,,spindle
+750.249,,Marker:Markoff:1
+750.723,,Marker:Markon:1
+751.756436,,spindle
+780.249,,Marker:Markoff:1
+780.723,,Marker:Markon:1
+792.6900853,,spindle
+810.23,,Marker:Markoff:2
+810.728,,Marker:Markon:2
+824.6237345,,k-complex
+827.4199431,,spindle
+840.296,,Marker:Markoff:2
+840.728,,Marker:Markon:2
+848.9033554,,spindle
+870.23,,Marker:Markoff:2
+870.728,,Marker:Markon:2
+900.296,,Marker:Markoff:2
+900.728,,Marker:Markon:2
+913.1498009,,spindle
+930.23,,Marker:Markoff:2
+930.728,,Marker:Markon:2
+951.149,,k-complex
+960.296,,Marker:Markoff:2
+960.728,,Marker:Markon:2
+985.7177203,,spindle
+990.23,,Marker:Markoff:2
+990.728,,Marker:Markon:2
+994.769853,,k-complex
+1020.296,,Marker:Markoff:2
+1020.728,,Marker:Markon:2
+1027.3907061,,spindle
+1050.23,,Marker:Markoff:2
+1050.728,,Marker:Markon:2
+1080.296,,Marker:Markoff:2
+1080.728,,Marker:Markon:2
+1086.7461563,,spindle
+1110.23,,Marker:Markoff:2
+1110.728,,Marker:Markon:2
+1114.5234075,,k-complex
+1133.6134549,,spndle
+1140.296,,Marker:Markoff:2
+1140.728,,Marker:Markon:2
+1147.4061708,,spindle
+1161.7927109,,spindle
+1170.23,,Marker:Markoff:2
+1170.728,,Marker:Markon:2
+1180.7219603,,spindle
+1200.23,,Marker:Markoff:2
+1200.728,,Marker:Markon:2
+1205.1671716,,spindle
+1210.7763175,,k-complex
+1211.4182502,,spindle
+1230.23,,Marker:Markoff:2
+1230.728,,Marker:Markon:2
+1233.4277411,,spindle
+1237.9342122,,k-complex
+1238.423427,,spindle
+1260.23,,Marker:Markoff:2
+1260.728,,Marker:Markon:2
+1269.7642381,,spindle
+1274.8116928,,spindle
+1279.4708817,,spindle
+1285.879855,,spindle
+1287.5882243,,spindle
+1290.23,,Marker:Markoff:2
+1290.728,,Marker:Markon:2
+1300.4139361,,spindle
+1309.8539706,,spindle
+1313.8142812,,spindle
+1320.23,,Marker:Markoff:2
+1320.728,,Marker:Markon:2
+1336.5925383,,spindle
+1350.23,,Marker:Markoff:2
+1350.728,,Marker:Markon:2
+1360.8022018,,spindle
+1365.3785608,,spindle
+1367.4493114,,spindle
+1380.23,,Marker:Markoff:2
+1380.728,,Marker:Markon:2
+1386.5261018,,spindle
+1410.23,,Marker:Markoff:2
+1410.728,,Marker:Markon:2
+1426.3906402,,spindle
+1433.6589749,,spindle
+1437.1947817,,spindle
+1440.23,,Marker:Markoff:2
+1440.728,,Marker:Markon:2
+1443.8211837,,spindle
+1451.7573356,,spindle
+1457.2914167,,spindle
+1464.6115202,,spindle
+1468.3906402,,spindle
+1470.23,,Marker:Markoff:2
+1470.728,,Marker:Markon:2
+1471.6417187,,spindle
+1500.23,,Marker:Markoff:2
+1500.23,,Marker:Markoff:2
+1500.728,,Marker:Markon:2
+1509.3138498,,spindle
+1525.4501742,,spindle
+1530.23,,Marker:Markoff:2
+1530.7409421,,Marker:Markon:SWS
+1560.23,,Marker:Markoff:SWS
+1560.74,,Marker:Markon:SWS
+1564.6028921,,spindle
+1590.23,,Marker:Markoff:SWS
+1590.74,,Marker:Markon:SWS
+1620.23,,Marker:Markoff:SWS
+1620.74,,Marker:Markon:SWS
+1620.9040137,,spindle
+1648.3440482,,spindle
+1650.23,,Marker:Markoff:SWS
+1650.74,,Marker:Markon:SWS
+1651.7866712,,spindle
+1661.94888,,spindle
+1680.23,,Marker:Markoff:SWS
+1680.74,,Marker:Markon:SWS
+1682.506257,,spindle
+1687.0619085,,spindle
+1689.9609594,,spindle
+1703.3509507,,spindle
+1710.23,,Marker:Markoff:SWS
+1710.74,,Marker:Markon:SWS
+1716.8833062,,spindle
+1731.5442208,,spindle
+1736.9799413,,spindle
+1740.23,,Marker:Markoff:SWS
+1740.74,,Marker:Markon:SWS
+1746.979,,spindle
+1757.5787333,,spindle
+1766.5864986,,spindle
+1770.23,,Marker:Markoff:SWS
+1770.74,,Marker:Markon:SWS
+1784.9514684,,spindle
+1788.6710543,,spindle
