Onset,Duration,Annotation
+0.663,,Marker:Markon: w
+30.4951513,,Marker:Markoff: w
+30.8734018,,Marker:Markon: w
+60.495,,Marker:Markoff: w
+60.859,,Marker:Markon: w
+90.495,,Marker:Markoff: w
+90.873,,Marker:Markon: w
+120.495,,Marker:Markoff: w
+120.859,,Marker:Markon: w
+150.495,,Marker:Markoff: w
+150.873,,Marker:Markon: w
+180.495,,Marker:Markoff: w
+180.859,,Marker:Markon: w
+210.495,,Marker:Markoff: w
+210.873,,Marker:Markon: w
+240.495,,Marker:Markoff: w
+240.859,,Marker:Markon: w
+270.495,,Marker:Markoff: w
+270.859,,Marker:Markon: w
+300.502,,Marker:Markoff: w
+300.859,,Marker:Markon: 1
+330.495,,Marker:Markoff: 1
+330.859,,Marker:Markon: 1
+360.495,,Marker:Markoff: 1
+360.859,,Marker:Markon: 1
+390.495,,Marker:Markoff: 1
+390.859,,Marker:Markon: 1
+420.495,,Marker:Markoff: 1
+420.859,,Marker:Markon: 1
+450.495,,Marker:Markoff: 1
+450.859,,Marker:Markon: 1
+480.495,,Marker:Markoff: 1
+480.859,,Marker:Markon: 1
+484.3708483,,spindle
+510.495,,Marker:Markoff: 1
+510.859,,Marker:Markon: 1
+511.6694265,,spindle
+522.2144502,,spindle
+540.495,,Marker:Markoff: 1
+540.859,,Marker:Markon: 1
+567.8779573,,spindle
+570.495,,Marker:Markoff: 1
+570.859,,Marker:Markon: 1
+582.9395687,,spindle
+600.495,,Marker:Markoff: 1
+600.859,,Marker:Markon: 1
+618.1480995,,spindle
+630.495,,Marker:Markoff: 1
+630.859,,Marker:Markon: 1
+644.6836445,,spindle
+660.495,,Marker:Markoff: 1
+660.859,,Marker:Markon: 1
+690.495,,Marker:Markoff: 1
+690.859,,Marker:Markon: 1
+720.495,,Marker:Markoff: 1
+720.859,,Marker:Markon: 1
+750.495,,Marker:Markoff: 1
+750.859,,Marker:Markon: 2
+758.2769905,,spindle
+761.7604028,,spindle
+778.479853,,spindle
+780.495,,Marker:Markoff: 2
+780.859,,Marker:Markon: 2
+787.4703744,,spindle
+797.6504691,,spindle
+810.517,,Marker:Markoff: 2
+810.873,,Marker:Markon: 2
+840.495,,Marker:Markoff: 2
+840.859,,Marker:Markon: 2
+865.7547345,,spindle
+870.495,,Marker:Markoff: 2
+870.859,,Marker:Markon: 2
+882.4561563,,spindle
+890.3518909,,spindle
+893.1480995,,spindle
+895.3898056,,spindle
+900.495,,Marker:Markoff: 1
+900.859,,Marker:Markon: 1
+930.495,,Marker:Markoff: 1
+930.859,,Marker:Markon: 1
+960.495,,Marker:Markoff: 1
+960.859,,Marker:Markon: 1
+962.3575592,,spindle
+990.495,,Marker:Markoff: 1
+990.859,,Marker:Markon: 1
+1020.495,,Marker:Markoff: 1
+1020.859,,Marker:Markon: 1
+1044.8788862,,spindle
+1047.8646682,,spindle
+1050.495,,Marker:Markoff: 1
+1050.859,,Marker:Markon: 1
+1054.6750947,,spindle
+1070.1964218,,spindle
+1080.495,,Marker:Markoff: 1
+1080.859,,Marker:Markon: 1
+1110.495,,Marker:Markoff: 1
+1110.859,,Marker:Markon: 1
+1139.1585071,,spindle
+1140.495,,Marker:Markoff: 1
