Onset,Duration,Annotation
+0.0567800,,Markon: w
+29.9800730,,Markoff: w
+30.0189270,,Markon: w
+59.9611460,,Markoff: w
+60.0378540,,Markon: w
+89.9800730,,Markoff: w
+90.0189270,,Markon: w
+119.9232930,,Markoff: w
+120.0189270,,Markon: w
+149.9232930,,Markoff: w
+150.0378540,,Markon: w
+179.9232930,,Markoff: w
+180.0000000,,Markon: w
+209.9800730,,Markoff: w
+210.0000000,,Markon: w
+239.9422200,,Markoff: w
+240.0378540,,Markon: w
+269.9043660,,Markoff: w
+270.0189270,,Markon: w
+299.9800730,,Markoff: w
+300.0000000,,Markon: w
+329.9422200,,Markoff: w
+330.0000000,,Markon: w
+359.9611460,,Markoff: w
+360.0000000,,Markon: w
+389.9800730,,Markoff: w
+390.0000000,,Markon: w
+419.9232930,,Markoff: w
+420.0378540,,Markon: w
+449.9232930,,Markoff: w
+450.0189270,,Markon: w
+479.9800730,,Markoff: w
+480.0189270,,Markon: w
+509.9611460,,Markoff: w
+510.2050730,,Markon: 1
+540.1283660,,Markoff: 1
+540.2050730,,Markon: w
+570.1472930,,Markoff: w
+570.2618540,,Markon: w
+600.1283660,,Markoff: w
+600.2050730,,Markon: w
+630.1662200,,Markoff: w
+630.1860000,,Markon: 2
+648.9700000,,Spindle
+656.6720000,,k-complex
+660.1090000,,Markoff: 2
+660.2050730,,Markon: 1
+690.1662200,,Markoff: 1
+690.1861460,,Markon: w
+720.0715850,,Markoff: w
+720.2420000,,Markon: 1
+744.8210000,,spindle
+747.6250000,,spindle
+750.1470000,,Markoff: 1
+750.2050000,,Markon: 2
+762.4850000,,spindle
+763.9610000,,Spindle
+769.2240000,,Spindle
+774.2890000,,spindle
+779.3910000,,spindle
+780.1280000,,Markoff: 2
+780.2429270,,Markon: w
+783.2230000,,Spindle
+810.1662200,,Markoff: w
+810.1861460,,Markon: w
+840.1472930,,Markoff: w
+840.1860000,,Markon: 1
+853.5480000,,Spindle
+870.1090000,,Markoff: 1
+870.1860000,,Markon: 1
+900.1090000,,Markoff: 1
+900.2610000,,Markon: 2
+903.6530000,,spindle
+907.5480000,,Spindle
+928.3820000,,spindle
+930.1660000,,Markoff: 2
+930.2240000,,Markon: 2
+937.0233553,0.355000,Spindle
+960.1470000,,Markoff: 2
+960.2429270,,Markon: 2
+963.5390000,,k-complex
+975.5880000,0.355000,Spindle
+979.5130000,0.355000,Spindle
+984.6440000,0.355000,Spindle
+990.1662200,,Markoff: 2
+990.2050000,,Markon: 2
+998.7600000,0.355000,Spindle
+1020.1280000,,Markoff: 2
+1020.2240000,,Markon: w
+1050.1283660,,Markoff: w
+1050.2240000,,Markon: w
+1080.1094390,,Markoff: w
+1080.2050730,,Markon: w
+1110.1283660,,Markoff: w
+1110.2050730,,Markon: w
+1140.1283660,,Markoff: w
+1140.2240000,,Markon: 1
+1170.1283660,,Markoff: 1
+1170.1861460,,Markon: w
+1200.1472930,,Markoff: w
+1200.2240000,,Markon: 1
+1230.1280000,,Markoff: 1
+1230.2240000,,Markon: 2
+1232.2010000,,Spindle
+1251.1110000,0.355000,Spindle
+1260.0905120,,Markoff: 2
+1260.2420000,,Markon: 1
+1263.2790000,0.355000,Spindle
+1276.5410000,0.355000,Spindle
+1290.0710000,,Markoff: 1
+1290.2618540,,Markon: w
+1320.1472930,,Markoff: w
+1320.2050000,,Markon: 1
+1331.4530000,0.171000,Spindle
+1350.1280000,,Markoff: 1
+1350.1861460,,Markon: w
+1380.1094390,,Markoff: w
+1380.2420000,,Markon: w
+1399.0080000,0.355000,Spindle
+1410.1470000,,Markoff: w
+1410.2240000,,Markon: w
+1419.1110000,0.355000,Spindle
+1440.0905120,,Markoff: w
+1440.2429270,,Markon: w
