epochs,mean score,score std
50.0,0.6047030994733471,0.04997734825602722
50.0,0.6047030994733471,0.04997734825602722
100.0,0.612034822998901,0.04131625528730845
50.0,0.6047030994733471,0.04997734825602722
100.0,0.612034822998901,0.04131625528730845
150.0,0.6120225455084864,0.04132536096848324
50.0,0.6047030994733471,0.04997734825602722
100.0,0.612034822998901,0.04131625528730845
150.0,0.6120225455084864,0.04132536096848324
200.0,0.6120373174782919,0.041294180785076434
50.0,0.6047030994733471,0.04997734825602722
100.0,0.612034822998901,0.04131625528730845
150.0,0.6120225455084864,0.04132536096848324
200.0,0.6120373174782919,0.041294180785076434
250.0,0.6119728974997909,0.041414925844665225
50.0,0.6047030994733471,0.04997734825602722
100.0,0.612034822998901,0.04131625528730845
150.0,0.6120225455084864,0.04132536096848324
200.0,0.6120373174782919,0.041294180785076434
250.0,0.6119728974997909,0.041414925844665225
300.0,0.6120425238011599,0.04124981189648223
50.0,0.6047030994733471,0.04997734825602722
100.0,0.612034822998901,0.04131625528730845
150.0,0.6120225455084864,0.04132536096848324
200.0,0.6120373174782919,0.041294180785076434
250.0,0.6119728974997909,0.041414925844665225
300.0,0.6120425238011599,0.04124981189648223
350.0,0.6119360691080125,0.04145307247838822
50.0,0.6047030994733471,0.04997734825602722
100.0,0.612034822998901,0.04131625528730845
150.0,0.6120225455084864,0.04132536096848324
200.0,0.6120373174782919,0.041294180785076434
250.0,0.6119728974997909,0.041414925844665225
300.0,0.6120425238011599,0.04124981189648223
350.0,0.6119360691080125,0.04145307247838822
400.0,0.6119002433832139,0.04146726036049315
50.0,0.6047030994733471,0.04997734825602722
100.0,0.612034822998901,0.04131625528730845
150.0,0.6120225455084864,0.04132536096848324
200.0,0.6120373174782919,0.041294180785076434
250.0,0.6119728974997909,0.041414925844665225
300.0,0.6120425238011599,0.04124981189648223
350.0,0.6119360691080125,0.04145307247838822
400.0,0.6119002433832139,0.04146726036049315
450.0,0.6117702069818253,0.04160583829369442
50.0,0.6047030994733471,0.04997734825602722
100.0,0.612034822998901,0.04131625528730845
150.0,0.6120225455084864,0.04132536096848324
200.0,0.6120373174782919,0.041294180785076434
250.0,0.6119728974997909,0.041414925844665225
300.0,0.6120425238011599,0.04124981189648223
350.0,0.6119360691080125,0.04145307247838822
400.0,0.6119002433832139,0.04146726036049315
450.0,0.6117702069818253,0.04160583829369442
500.0,0.6120018256326584,0.041252451112349535
50.0,0.6047030994733471,0.04997734825602722
100.0,0.612034822998901,0.04131625528730845
150.0,0.6120225455084864,0.04132536096848324
200.0,0.6120373174782919,0.041294180785076434
250.0,0.6119728974997909,0.041414925844665225
300.0,0.6120425238011599,0.04124981189648223
350.0,0.6119360691080125,0.04145307247838822
400.0,0.6119002433832139,0.04146726036049315
