Onset,Duration,Annotation
+0.959,,Marker:Markon: w
+30.8101647,,Marker:Markoff: w
+31.1337195,,Marker:Markon: w
+60.7855746,,Marker:Markoff: w
+61.1608981,,Marker:Markon: w
+120.8127532,,Marker:Markoff: w
+121.136308,,Marker:Markon: w
+180.7946341,,Marker:Markoff: w
+181.1440733,,Marker:Markon: w
+240.7920457,,Marker:Markoff: w
+241.1026583,,Marker:Markon: w
+270.7622786,,Marker:Markoff: 1
+271.1621924,,Marker:Markon: 1
+300.762,,Marker:Markoff: 1
+301.214,,Marker:Markon: 1
+330.762,,Marker:Markoff: 1
+331.1337195,,Marker:Markon: 1
+360.799811,,Marker:Markoff: 1
+361.1621923,,Marker:Markon: 1
+390.762,,Marker:Markoff: 1
+391.1350137,,Marker:Markon: 1
+420.762,,Marker:Markoff: 1
+421.1466617,,Marker:Markon: 1
+450.762,,Marker:Markoff: 1
+451.1466617,,Marker:Markon: 1
+480.7868688,,Marker:Markoff: 1
+481.1621923,,Marker:Markon: 1
+510.762,,Marker:Markoff: 1
+511.1997247,,Marker:Markon: 1
+540.762,,Marker:Markoff: 1
+541.1363079,,Marker:Markon: 1
+547.0389517,,spindle
+570.75,,Marker:Markoff: 1
+571.255,,Marker:Markon: 1
+589.9963986,,spindle
+600.75,,Marker:Markoff: 1
+601.255,,Marker:Markon: 1
+630.75,,Marker:Markoff: 1
+631.255,,Marker:Markon: 1
+660.75,,Marker:Markoff: 1
+661.255,,Marker:Markon: 1
+690.75,,Marker:Markoff: 1
+691.255,,Marker:Markon: 1
+720.75,,Marker:Markoff: 1
+721.255,,Marker:Markon: 1
+732.7208636,,spindle
+750.75,,Marker:Markoff: 1
+751.255,,Marker:Markon: 1
+780.75,,Marker:Markoff: 1
+781.255,,Marker:Markon: 1
+810.75,,Marker:Markoff: 1
+811.1579335,,Marker:Markon: 1
+840.75,,Marker:Markoff: 1
+841.1838179,,Marker:Markon: 1
+870.75,,Marker:Markoff: 1
+871.1449913,,Marker:Markon: 1
+900.75,,Marker:Markoff: 1
+901.1579335,,Marker:Markon: 1
+930.75,,Marker:Markoff: 1
+931.157,,Marker:Markon: 1
+960.75,,Marker:Markoff: 1
+961.157,,Marker:Markon: 1
+990.75,,Marker:Markoff: 1
+991.157,,Marker:Markon: 1
+1001.3939127,,spindle
+1020.75,,Marker:Markoff: 1
+1021.157,,Marker:Markon: 1
+1032.7761388,,spindle
+1041.4396418,,spindle
+1043.2903752,,spindle
+1046.383559,,spindle
+1047.8524977,,spindle
+1050.75,,Marker:Markoff: 2
+1051.157,,Marker:Markon: 2
+1057.740332,,spindle
+1080.75,,Marker:Markoff: 2
+1081.157,,Marker:Markon: 2
+1110.75,,Marker:Markoff: 2
+1111.157,,Marker:Markon: 2
+1117.3675969,,spindle
+1121.897364,,spindle
+1140.5794174,,spindle
+1140.75,,Marker:Markoff: 2
+1141.157,,Marker:Markon: 2
+1148.5453363,,spindle
+1158.063024,,spindle
+1163.3615572,,spindle
+1169.4819196,,spindle
+1170.75,,Marker:Markoff: 2
+1171.157,,Marker:Markon: 2
+1177.5902026,,spindle
+1186.0181577,,spindle
+1200.75,,Marker:Markoff: 2
+1201.157,,Marker:Markon: 2
+1219.0725149,,spindle
+1230.75,,Marker:Markoff: 2
+1231.157,,Marker:Markon: 2
+1238.7239386,,spindle
+1244.4185029,,spindle
+1252.5241974,,spindle
+1260.75,,Marker:Markoff: 2
+1261.157,,Marker:Markon: 2
+1264.4077177,,spindle
+1273.5384338,,spindle
+1290.75,,Marker:Markoff: 2
+1291.157,,Marker:Markon: 2
+1291.6937401,,spindle
+1316.693,,spindle
+1320.75,,Marker:Markoff: 2
+1321.157,,Marker:Markon: 2
+1350.75,,Marker:Markoff: 2
+1351.157,,Marker:Markon: 2
+1362.8007289,,spindle
+1378.9137574,,spindle
+1380.75,,Marker:Markoff: 2
+1381.157,,Marker:Markon: 2
+1382.9193657,,spindle
+1383.9935676,,spindle
+1385.4042665,,spindle
+1393.0349826,,spindle
+1399.6769153,,spindle
+1405.5914968,,spindle
+1408.7170361,,spindle
+1410.75,,Marker:Markoff: 2
+1411.157,,Marker:Markon: 2
+1421.0807117,,spindle
+1427.454741,,spindle
+1432.0181577,,spindle
+1437.2079766,,spindle
+1440.75,,Marker:Markoff: 2
+1441.157,,Marker:Markon: 2
+1444.1113415,,spindle
+1470.75,,Marker:Markoff: 2
+1471.157,,Marker:Markon: 2
+1495.0336884,,spindle
+1496.8197108,,spindle
+1500.75,,Marker:Markoff: 2
+1501.157,,Marker:Markon: 2
+1515.5807117,,spindle
+1519.385716,,spindle
+1523.4029722,,spindle
+1526.9750171,,spindle
+1530.75,,Marker:Markoff: 2
+1531.157,,Marker:Markon: 2
+1551.5923596,,spindle
+1560.75,,Marker:Markoff: 2
+1561.157,,Marker:Markon: 2
+1563.4124632,,spindle
+1568.5712207,,spindle
+1573.2653536,,spindle
+1590.75,,Marker:Markoff: 2
+1591.157,,Marker:Markon: 2
+1594.2925322,,spindle
+1598.9724287,,spindle
+1611.3231621,,spindle
+1612.4750171,,spindle
+1620.75,,Marker:Markoff: 2
+1621.157,,Marker:Markon: 2
+1626.2830413,,spindle
+1650.75,,Marker:Markoff: 2
+1651.157,,Marker:Markon: 2
+1652.2334295,,spindle
+1656.1549136,,spindle
+1665.233,,spindle
+1680.75,,Marker:Markoff: 2
+1681.157,,Marker:Markon: 2
+1687.1475797,,spindle
+1708.498313,,k-complex
+1709.0160007,,spindle
+1710.75,,Marker:Markoff: 2
+1711.157,,Marker:Markon: 2
+1725.4266996,,spindle
+1730.5427479,,spindle
+1740.75,,Marker:Markoff: 2
+1741.157,,Marker:Markon: 2
+1745.7135848,,spindle
+1749.6221267,,spindle
+1766.9064235,,spindle
+1770.75,,Marker:Markoff: 2
+1771.157,,Marker:Markon: 2
