Onset,Duration,Annotation
+0.388,,Marker:Markon:w
+30.104861,,Marker:Markoff:w
+30.626,,Marker:Markon:w
+60.104,,Marker:Markoff:w
+60.626,,Marker:Markon:w
+90.104,,Marker:Markoff:w
+90.626,,Marker:Markon:w
+120.104,,Marker:Markoff:w
+120.626,,Marker:Markon:w
+150.104,,Marker:Markoff:w
+150.626,,Marker:Markon:w
+180.104,,Marker:Markoff:w
+180.626,,Marker:Markon:w
+210.104,,Marker:Markoff:w
+210.626,,Marker:Markon:w
+240.104,,Marker:Markoff:w
+240.626,,Marker:Markon:w
+270.104,,Marker:Markoff:w
+270.626,,Marker:Markon:w
+300.104,,Marker:Markoff:w
+300.626,,Marker:Markon:w
+330.104,,Marker:Markoff:w
+330.6261363,,Marker:Markon:1
+360.104,,Marker:Markoff:1
+360.626,,Marker:Markon:1
+390.104,,Marker:Markoff:1
+390.626,,Marker:Markon:1
+420.104,,Marker:Markoff:1
+420.626,,Marker:Markon:1
+450.104,,Marker:Markoff:1
+450.626,,Marker:Markon:1
+480.104,,Marker:Markoff:1
+480.626,,Marker:Markon:1
+510.104,,Marker:Markoff:1
+510.626,,Marker:Markon:1
+540.104,,Marker:Markoff:1
+540.626,,Marker:Markon:1
+570.104,,Marker:Markoff:1
+570.626,,Marker:Markon:1
+600.104,,Marker:Markoff:1
+600.626,,Marker:Markon:1
+630.104,,Marker:Markoff:1
+630.626,,Marker:Markon:1
+641.2154374,,spindle
+645.4087074,,spindle
+650.0886039,,spindle
+658.286188,,spindle
+660.104,,Marker:Markoff:2
+660.626,,Marker:Markon:2
+672.9548679,,spindle
+690.104,,Marker:Markoff:2
+690.626,,Marker:Markon:2
+699.3388196,,spindle
+702.7890716,,spindle
+707.0341104,,spindle
+715.9564572,,spindle
+720.104,,Marker:Markoff:2
+720.626,,Marker:Markon:2
+735.1160776,,spindle
+746.68122,,spindle
+750.104,,Marker:Markoff:2
+750.626,,Marker:Markon:2
+780.104,,Marker:Markoff:2
+780.626,,Marker:Markon:2
+810.104,,Marker:Markoff:2
+810.626,,Marker:Markon:2
+820.104861,,spindle
+824.7304003,,spindle
+827.4741449,,spindle
+833.0193649,,spindle
+840.104,,Marker:Markoff:2
+840.626,,Marker:Markon:2
+870.104,,Marker:Markoff:2
+870.626,,Marker:Markon:2
+887.7057535,,spindle
+900.104,,Marker:Markoff:2
+900.626,,Marker:Markon:2
+906.430872,,spindle
+918.0043317,,spindle
+930.104,,Marker:Markoff:2
+930.626,,Marker:Markon:2
+958.7341895,,spindle
+960.104,,Marker:Markoff:2
+960.626,,Marker:Markon:2
+982.6157061,,spindle
+990.104,,Marker:Markoff:2
+990.626,,Marker:Markon:2
+1020.104,,Marker:Markoff:2
+1020.626,,Marker:Markon:2
+1050.104,,Marker:Markoff:2
+1050.626,,Marker:Markon:2
+1061.9048056,,spindle
+1077.0754218,,spindle
+1080.104,,Marker:Markoff:2
+1080.626,,Marker:Markon:2
+1083.3313459,,spindle
