Onset,Duration,Annotation
+0.229,,Marker: Markon: w
+30.1184348,,Marker: Markoff: w
+30.30271,,Marker: Markon: w
+60.1044864,,Marker: Markoff: w
+60.3808992,,Marker: Markon: w
+90.0639459,,Marker: Markoff: w
+90.4324963,,Marker: Markon: w
+120.085,,Marker: Markoff: w
+120.361,,Marker: Markon: w
+150.015,,Marker: Markoff: w
+150.446,,Marker: Markon: w
+179.989,,Marker: Markoff: w
+180.373,,Marker: Markon: w
+209.949167,,Marker: Markoff: w
+210.3914275,,Marker: Markon: w
+240.0155061,,Marker: Markoff: w
+240.4209115,,Marker: Markon: w
+270.0339336,,Marker: Markoff: w
+270.4577665,,Marker: Markon: 1
+299.9830442,,Marker: Markoff: 1
+300.4805872,,Marker: Markon: 1
+330.0460515,,Marker: Markoff: 1
+330.4146019,,Marker: Markon: 1
+359.9870834,,Marker: Markoff: 1
+360.4477714,,Marker: Markon: 1
+390.020253,,Marker: Markoff: 1
+390.388,,Marker: Markon: 2
+398.7290982,,k-complex
+420.0165675,,Marker: Markoff: 2
+420.4219729,,Marker: Markon: 2
+432.5523742,,spindle
+442.8040367,,spindle
+451.111,,Marker: Markoff: 2
+451.386,,Marker: Markon: 2
+476.5874711,,spind;e
+480.07,,Marker: Markoff: 2
+480.431,,Marker: Markon: 2
+494.2037272,,spindle
+510.087,,Marker: Markoff: 2
+510.4006251,,Marker: Markon: 2 
+538.1975847,,spindle
+540.0099617,,Marker: Markoff: 2 
+540.4153671,,Marker: Markon: 2
+547.2161049,,k-complex
+548.3286273,,spindle
+570.0171519,,Marker: Markoff: 2 
+570.4830708,,Marker: Markon: 2 
+581.031,,k-complex
+597.644,,k-complex
+598.2414832,,spindle
+600.0922165,,Marker: Markoff: 2
+600.4028291,,Marker: Markon: 2
+630.0818628,,Marker: Markoff: 2
+630.3665911,,Marker: Markon: 2
+632.2015085,,spindle
+653.991,,k-complex
+655.386,,spindle
+660.129,,Marker: Markoff: 2
+660.366,,Marker: Markon: 2
+690.114289,,Marker: Markoff: 2
+690.379,,Marker: Markon: 2
+714.615,,k-complex
+716.621,,spindle
+720.129,,Marker: Markoff: 2
+720.4266704,,Marker: Markon: 2
+750.179,,Marker: Markoff: 2
+750.379,,Marker: Markon: 2
+760.419,,spindle
+780.129,,Marker: Markoff: 2
+780.379,,Marker: Markon: 2
+810.0625202,,Marker: Markoff: 2
+810.379,,Marker: Markon: 2
+832.217,,spindle
+840.1160578,,Marker: Markoff: 2
+840.379,,Marker: Markon: 2
+870.0884046,,Marker: Markoff: 2
+870.379,,Marker: Markon: 2
+872.808,,spindle
+886.14,,spindle
+896.365377,,spindle
+900.129,,Marker: Markoff: 2
