Onset,Duration,Annotation
+0.1149390,,Marker: Markon: w
+29.8840610,,Marker: Markoff: w
+30.0000000,,Marker: Markon: w
+59.9004810,,Marker: Markoff: w
+60.0164200,,Marker: Markon: w
+89.9661600,,Marker: Markoff: w
+90.0328400,,Marker: Markon: w
+119.9497410,,Marker: Markoff: w
+120.0164200,,Marker: Markon: w
+149.9497410,,Marker: Markoff: w
+150.0492590,,Marker: Markon: 1
+179.9661600,,Marker: Markoff: 1
+180.0492590,,Marker: Markon: w
+209.9497410,,Marker: Markoff: w
+210.0164200,,Marker: Markon: 1
+239.9661600,,Marker: Markoff: 1
+240.0650000,,Marker: Markon: 1
+269.9330000,,Marker: Markoff: 1
+270.0320000,,Marker: Markon: 1
+299.9660000,,Marker: Markoff: 1
+300.0490000,,Marker: Markon: 1
+329.9330000,,Marker: Markoff: 1
+330.0650000,,Marker: Markon: 1
+359.9160000,,Marker: Markoff: 1
+360.0820000,,Marker: Markon: 1
+389.9660000,,Marker: Markoff: 1
+390.0550000,,Marker: Markon: 1
+419.9420000,,Marker: Markoff: 1
+420.0170000,,Marker: Markon: 1
+449.9420000,,Marker: Markoff: 1
+450.0260000,,Marker: Markon: 2
+462.7850000,,spindle
+478.0930000,,spindle
+479.9686872,,Marker: Markoff: 2
+480.0360000,,Marker: Markon: 2
+510.9690000,,Marker: Markoff: 2
+510.9940000,,Marker: Markon: 1
+539.8760000,,Marker: Markoff: 1
+540.0160000,,Marker: Markon: 1
+569.9490000,,Marker: Markoff: 1
+570.0160000,,Marker: Markon: w
+571.3730000,,spindle
+572.8590000,,k-complex
+599.9330000,,Marker: Markoff: w
+600.0160000,,Marker: Markon: 1
+629.2020000,,spindle
+629.9330000,,Marker: Markoff: 1
+630.0640000,,Marker: Markon: 2
+639.3800000,,spindle
+657.0440000,,spindle
+659.9820000,,Marker: Markoff: 2
+660.0328400,,Marker: Markon: w
+689.9825800,,Marker: Markoff: w
+690.0164200,,Marker: Markon: w
+719.9497410,,Marker: Markoff: w
+720.0650000,,Marker: Markon: 1
+749.9820000,,Marker: Markoff: 1
+750.0490000,,Marker: Markon: 1
+779.9330000,,Marker: Markoff: w
+780.0160000,,Marker: Markon: 1
+809.9660000,,Marker: Markoff: 1
+810.2000000,,Marker: Markon: 1
+839.9490000,,Marker: Markoff: 1
+840.0080000,,Marker: Markon: 1
+869.9090000,,Marker: Markoff: 1
+870.0328400,,Marker: Markon: w
+899.9497410,,Marker: Markoff: w
+900.0160000,,Marker: Markon: 1
+929.9330000,,Marker: Markoff: 1
+930.0320000,,Marker: Markon: 1
+959.9660000,,Marker: Markoff: 1
+960.0320000,,Marker: Markon: 1
+989.9490000,,Marker: Markoff: 1
+990.0820000,,Marker: Markon: 1
