Onset,Duration,Annotation
+0.157,,Marker: Markon: w
+29.9568274,,Marker: Markoff: w
+30.356,,Marker: Markon: w
+59.9257661,,Marker: Markoff: w
+60.356,,Marker: Markon: w
+89.9395711,,Marker: Markoff: w
+90.37,,Marker: Markon: w
+119.926,,Marker: Markoff: w
+120.375,,Marker: Markon: w
+149.945,,Marker: Markoff: w
+150.356,,Marker: Markon: 1
+179.93,,Marker: Markoff: 1
+180.344,,Marker: Markon: 1
+209.93,,Marker: Markoff: 1
+210.344,,Marker: Markon: 1
+239.93,,Marker: Markoff: 1
+240.344,,Marker: Markon: 1
+269.93,,Marker: Markoff: 1
+270.344,,Marker: Markon: 1
+299.93,,Marker: Markoff: 1
+300.344,,Marker: Markon: 2
+301.4397722,,spindle
+306.5907644,,spindle
+320.9531458,,spindle
+329.93,,Marker: Markoff: 2
+330.344,,Marker: Markon: 2
+335.767641,,k-complex
+359.93,,Marker: Markoff: 2
+360.344,,Marker: Markon: 2
+365.5381328,,spindle
+376.7546988,,spindle
+389.93,,Marker: Markoff: 2
+390.344,,Marker: Markon: 2
+419.93,,Marker: Markoff: 2
+420.344,,Marker: Markon: 2
+430.9437298,,spindle
+435.1981846,,spindle
+449.93,,Marker: Markoff: 2
+450.344,,Marker: Markon: 2
+458.5044831,,spindle
+463.1239827,,k-complex
+479.93,,Marker: Markoff: 2
+480.344,,Marker: Markon: 2
+486.4199275,,spindle
+491.182654,,spindle
+495.6623779,,spindle
+509.93,,Marker: Markoff: 2
+510.1265711,,spindle
+510.344,,Marker: Markon: 2
+520.1800655,,spindle
+522.8720414,,spindle
+534.6080207,,spindle
+539.1291596,,spindle
+539.93,,Marker: Markoff: 2
+540.344,,Marker: Markon: 2
+546.4906781,,spindle
+550.9893839,,spindle
+563.5588403,,k-complex
+569.93,,Marker: Markoff: 2
+570.344,,Marker: Markon: 2
+575.2672096,,spindle
+576.7339913,,k-complex
+592.1110405,,spindle
+597.0566833,,spindle
+599.93,,Marker: Markoff: 2
+600.344,,Marker: Markon: 2
+606.8582364,,spindle
