Onset,Duration,Annotation
+0.384,,Marker:Markon:w
+30.1510405,,Marker:Markoff:w
+30.6247247,,Marker:Markon:w
+60.1678654,,Marker:Markoff:w
+60.5820155,,Marker:Markon:w
+90.1976324,,Marker:Markoff:w
+90.5988403,,Marker:Markon:w
+120.2079861,,Marker:Markoff:w
+120.5703675,,Marker:Markon:w
+150.151,,Marker:Markoff:w
+150.6078999,,Marker:Markon:w
+180.151,,Marker:Markoff:w
+180.6480207,,Marker:Markon:w
+210.151,,Marker:Markoff:w
+210.6104883,,Marker:Markon:w
+240.151,,Marker:Markoff:w
+240.636,,Marker:Markon:w
+270.151,,Marker:Markoff:w
+270.585,,Marker:Markon:w
+300.193,,Marker:Markoff:w
+300.581,,Marker:Markon:w
+330.151,,Marker:Markoff:w
+330.623,,Marker:Markon:w
+360.151,,Marker:Markoff:w
+360.5716212,,Marker:Markon:1
+390.151,,Marker:Markoff:1
+390.6246842,,Marker:Markon:1
+420.151,,Marker:Markoff:1
+420.5962113,,Marker:Markon:1
+433.9875374,,spindle
+436.4659672,,spindle
+450.126,,Marker:Markoff:1
+450.644,,Marker:Markon:1
+480.644,,Marker:Markon:1
+510.644,,Marker:Markon:1
+540.644,,Marker:Markon:1
+567.5367178,,spindle
+570.644,,Marker:Markon:1
+600.644,,Marker:Markon:1
+630.644,,Marker:Markon:1
+655.536,,spindle
+660.644,,Marker:Markon:1
+690.644,,Marker:Markon:1
+691.7934046,,spindle
+700.3274857,,spindle
+720.2216962,,Marker:Markoff:2
+720.644,,Marker:Markon:2
+738.9547505,,k-complex
+739.2265366,,spindle
+746.1816703,,spindles
+750.221,,Marker:Markoff:2
+750.644,,Marker:Markon:2
+762.5108334,,spindle
+779.5311094,,k-complex
+780.221,,Marker:Markoff:2
+780.644,,Marker:Markon:2
+792.8020326,,spindle
+795.0902121,,spindle
+806.4055702,,spindle
+809.0457772,,spindle
+810.221,,Marker:Markoff:2
+810.644,,Marker:Markon:2
+840.221,,Marker:Markoff:2
+840.644,,Marker:Markon:2
+842.1454321,,spindle
+856.145,,spindle
+870.221,,Marker:Markoff:2
+870.644,,Marker:Markon:2
+879.3632923,,spindle
+900.221,,Marker:Markoff:2
+900.644,,Marker:Markon:2
+918.0928005,,spindle
+930.221,,Marker:Markoff:2
+930.644,,Marker:Markon:2
+936.2972872,,spindle
+960.221,,Marker:Markoff:2
+960.644,,Marker:Markon:2
+972.5082449,,spindle
+979.5928005,,spindle
+985.0479343,,spindle
+990.221,,Marker:Markoff:2
+990.644,,Marker:Markon:2
+991.8089351,,k-complex
+1001.9504364,,spindle
+1013.3835684,,spindle
+1020.221,,Marker:Markoff:2
+1020.644,,Marker:Markon:2
+1025.599703,,spindle
+1034.0173044,,spindle
+1048.3210145,,spindle
+1050.221,,Marker:Markoff:2
+1050.644,,Marker:Markon:2
+1080.221,,Marker:Markoff:2
+1080.644,,Marker:Markon:2
+1110.221,,Marker:Markoff:2
+1110.644,,Marker:Markon:2
+1122.3891767,,spindle
+1140.221,,Marker:Markoff:2
+1140.644,,Marker:Markon:1
+1170.221,,Marker:Markoff:1
+1170.644,,Marker:Markon:1
+1200.221,,Marker:Markoff:1
+1200.644,,Marker:Markon:1
+1230.221,,Marker:Markoff:1
+1230.559,,Marker:Markon:1
+1260.221,,Marker:Markoff:1
+1260.644,,Marker:Markon:1
+1290.221,,Marker:Markoff:1
+1290.644,,Marker:Markon:1
+1320.221,,Marker:Markoff:1
+1320.576,,Marker:Markon:1
+1324.6575115,,spindle
+1326.2882276,,spindle
+1329.6984951,,spindle
+1335.8007384,,spindle
+1350.221,,Marker:Markoff:2
+1350.576,,Marker:Markon:2
+1364.0690732,,spindle
+1380.221,,Marker:Markoff:2
+1380.576,,Marker:Markon:2
+1382.7679515,,spindle
+1410.221,,Marker:Markoff:2
+1410.576,,Marker:Markon:2
+1420.2718342,,spindle
+1440.221,,Marker:Markoff:2
+1440.576,,Marker:Markon:2
+1455.767,,spindle
+1468.0971146,,spindle
+1470.221,,Marker:Markoff:2
+1470.6790818,,Marker:Markon:1
+1500.221,,Marker:Markoff:1
+1500.679,,Marker:Markon:1
+1530.221,,Marker:Markoff:1
+1530.679,,Marker:Markon:1
+1560.221,,Marker:Markoff:1
+1560.679,,Marker:Markon:1
+1590.221,,Marker:Markoff:1
+1590.679,,Marker:Markon:1
+1620.221,,Marker:Markoff:1
+1620.679,,Marker:Markon:1
+1650.221,,Marker:Markoff:1
+1650.679,,Marker:Markon:1
+1680.221,,Marker:Markoff:1
+1680.679,,Marker:Markon:1
+1703.2890904,,spindle
+1710.221,,Marker:Markoff:1
+1710.679,,Marker:Markon:1
+1740.221,,Marker:Markoff:1
+1740.679,,Marker:Markon:1
+1770.221,,Marker:Markoff:1
+1770.679,,Marker:Markon:1
