Onset,Duration,Annotation
+0.996,,Marker:Markon:w
+30.7923761,,Marker:Markoff:w
+31.2324106,,Marker:Markon:w
+60.8536358,,Marker:Markoff:w
+61.267786,,Marker:Markon:w
+90.792,,Marker:Markoff:w
+91.232,,Marker:Markon:w
+120.853,,Marker:Markoff:w
+121.267,,Marker:Markon:w
+150.792,,Marker:Markoff:w
+151.232,,Marker:Markon:w
+180.853,,Marker:Markoff:w
+181.267,,Marker:Markon:w
+210.792,,Marker:Markoff:w
+211.232,,Marker:Markon:w
+240.853,,Marker:Markoff:w
+241.267,,Marker:Markon:w
+270.792,,Marker:Markoff:w
+270.792,,Marker:Markoff:w
+271.232,,Marker:Markon:w
+300.7779905,,Marker:Markoff:w
+301.267,,Marker:Markon:w
+330.792,,Marker:Markoff:w
+331.232,,Marker:Markon:w
+360.853,,Marker:Markoff:w
+361.267,,Marker:Markon:w
+390.792,,Marker:Markoff:w
+391.267,,Marker:Markon:1
+420.8215023,,Marker:Markoff:1
+421.224,,Marker:Markon:1
+450.821,,Marker:Markoff:1
+451.224,,Marker:Markon:1
+480.821,,Marker:Markoff:1
+481.224,,Marker:Markon:1
+491.224,,spindle
+510.821,,Marker:Markoff:1
+511.224,,Marker:Markon:1
+514.0774264,,spindle
+536.9636823,,spindle
+540.821,,Marker:Markoff:1
+541.224,,Marker:Markon:1
+550.4707913,,spindle
+570.0489904,,spindle
+570.821,,Marker:Markoff:1
+571.224,,Marker:Markon:1
+600.821,,Marker:Markoff:1
+601.224,,Marker:Markon:1
+630.821,,Marker:Markoff:1
+631.224,,Marker:Markon:1
+631.9921184,,spindle
+660.821,,Marker:Markoff:1
+661.224,,Marker:Markon:1
+690.821,,Marker:Markoff:1
+691.224,,Marker:Markon:1
+692.1579951,,spindle
+694.494488,,spindle
+696.9968576,,spindle
+720.83,,Marker: Markoff: 2
+721.224,,Marker:Markon:2
+727.1244739,,spindle
+736.8969857,,spindle
+744.9822938,,spindle
+750.1671279,,spindle
+750.83,,Marker: Markoff: 2
+751.224,,Marker:Markon:2
+756.323526,,spindle
+769.224,,spindle
+780.1102559,,spindle
+780.83,,Marker: Markoff: 2
+781.224,,Marker:Markon:2
+787.0344265,,spindle
+795.9728151,,spindle
+807.5936682,,spindle
+810.83,,Marker: Markoff: 2
+811.224,,Marker:Markon:2
+835.2385639,,k-complex
+840.83,,Marker: Markoff: 2
+841.224,,Marker:Markon:2
+842.5984075,,spindle
+848.0960379,,spindle
+860.9965118,,spindle
+862.7263696,,spindle
+870.2856113,,spindle
+870.83,,Marker: Markoff: 2
+871.224,,Marker:Markon:2
+876.9257677,,k-complex
+900.83,,Marker: Markoff: 2
+901.224,,Marker:Markon:2
+909.0012511,,spindle
+914.7121516,,spindle
+919.9254218,,spindle
+930.83,,Marker: Markoff: 2
+931.224,,Marker:Markon:2
+940.3756587,,spindle
+956.9965118,,k-complex
+960.83,,Marker: Markoff: 2
+961.224,,Marker:Markon:2
+964.0107298,,spindle
+968.01,,spindle
+978.4846635,,spindle
+980.7835876,,k-complex
+982.0012511,,spindle
+987.3330047,,spindle
+990.83,,Marker: Markoff: 2
+991.224,,Marker:Markon:2
+1002.7832417,,spindle
+1010.9064644,,spindle
+1013.0059905,,spindle
+1020.83,,Marker: Markoff: 2
+1021.224,,Marker:Markon:2
+1026.6884549,,spindle
+1042.9917725,,spindle
+1048.3709194,,spindle
+1050.83,,Marker: Markoff: 2
+1051.224,,Marker:Markon:2
+1059.5367962,,spindle
