Onset,Duration,Annotation
+0.996,,Marker: Markon: w
+30.8212804,,Marker: Markoff: w
+31.1950521,,Marker: Markon: w
+60.8342226,,Marker: Markoff: w
+61.1577773,,Marker: Markon: w
+90.8212804,,Marker: Markoff: w
+91.1577773,,Marker: Markon: w
+120.8614012,,Marker: Markoff: w
+121.1590716,,Marker: Markon: w
+150.8096324,,Marker: Markoff: w
+151.1720138,,Marker: Markon: w
+180.792,,Marker: Markoff: w
+181.195,,Marker: Markon: w
+210.792,,Marker: Markoff: w
+211.195,,Marker: Markon: w
+240.769,,Marker: Markoff: w
+241.209,,Marker: Markon: w
+270.792,,Marker: Markoff: w
+271.195,,Marker: Markon: w
+300.781,,Marker: Markoff: w
+301.182,,Marker: Markon: w
+330.792,,Marker: Markoff: w
+331.195,,Marker: Markon: w
+360.808,,Marker: Markoff: w
+361.215,,Marker: Markon: w
+390.792,,Marker: Markoff: w
+391.195,,Marker: Markon: w
+420.7894115,,Marker: Markoff: 1
+421.265,,Marker: Markon: 1
+450.814,,Marker: Markoff: 1
+451.176,,Marker: Markon: 1
+480.792,,Marker: Markoff: 1
+481.265,,Marker: Markon: 1
+510.785,,Marker: Markoff: 1
+511.186,,Marker: Markon: 1
+540.8528283,,Marker: Markoff: 1
+541.176383,,Marker: Markon: 1
+570.775,,Marker: Markoff: 1
+571.215,,Marker: Markon: 1
+600.792,,Marker: Markoff: 1
+601.1504987,,Marker: Markon: 1
+630.786,,Marker: Markoff: 1
+631.2,,Marker: Markon: 1
+646.4886824,,spindle
+660.826,,Marker: Markoff: 1
+661.163,,Marker: Markon: 1
+664.9957914,,spindle
+690.826,,Marker: Markoff: 1
+691.163,,Marker: Markon: 1
+701.125396,,spindle
+720.826,,Marker: Markoff: 1
+721.163,,Marker: Markon: 1
+750.826,,Marker: Markoff: 1
+750.826,,Marker: Markoff: 1
+751.163,,Marker: Markon: 1
+754.0926091,,spindle
+771.8984762,,spindle
+780.826,,Marker: Markoff: 1
+781.163,,Marker: Markon: 1
+782.9019275,,spindle
+787.4498136,,spindle
+810.826,,Marker: Markoff: 1
+811.163,,Marker: Markon: 1
+835.9972683,,spindle
+840.826,,Marker: Markoff: 1
+841.163,,Marker: Markon: 1
+842.0749214,,spindle
+845.9782864,,spindle
+851.8876911,,spindle
+859.5934719,,spindle
+861.0688817,,spindle
+869.8643951,,spindle
+870.826,,Marker: Markoff: 2
+871.163,,Marker: Markon: 2
+876.4325573,,spindle
+882.6008058,,spindle
+895.5429974,,spindle
+900.0986488,,spindle
+900.826,,Marker: Markoff: 2
+901.163,,Marker: Markon: 2
+915.4558532,,spindle
+919.5404089,,spindle
+922.5145245,,spindle
+926.0736272,,spindle
+930.826,,Marker: Markoff: 2
+931.163,,Marker: Markon: 2
+956.073,,spindle
+960.826,,Marker: Markoff: 2
+961.163,,Marker: Markon: 2
+962.2146971,,spindle
+969.1957152,,spindle
+974.1784589,,spindle
+978.194421,,spindle
+982.4472251,,spindle
+986.0063278,,spindle
+989.57449,,spindle
+990.826,,Marker: Markoff: 2
+991.163,,Marker: Markon: 2
+993.4920914,,spindle
+998.509779,,spindle
+1000.9920914,,spindle
+1002.992,,spindle
+1019.9511078,,spindle
+1020.826,,Marker: Markoff: 2
+1021.163,,Marker: Markon: 2
+1037.9252234,,spindle
+1050.826,,Marker: Markoff: 2
+1051.163,,Marker: Markon: 2
+1053.1465349,,spindle
+1055.5408403,,spindle
+1057.8121949,,spindle
+1062.0805297,,spindle
+1065.9851889,,spindle
+1075.0887264,,spindle
+1079.3337652,,spindle
+1080.826,,Marker: Markoff: 2
+1081.163,,Marker: Markon: 2
+1085.2768196,,spindle
+1087.6322984,,spindle
+1090.9040845,,spindle
+1093.8121949,,spindle
+1099.2815651,,spindle
+1110.826,,Marker: Markoff: 2
+1111.163,,Marker: Markon: 2
+1113.726345,,spindle
+1117.8898481,,spindle
+1122.5710387,,spindle
+1127.571,,spindle
+1131.4571475,,spindle
+1138.2828593,,spindle
+1140.826,,Marker: Markoff: 2
+1141.163,,Marker: Markon: 2
+1142.4075357,,spindle
+1149.9851889,,spindle
+1154.4890715,,spindle
+1162.8134891,,spindle
+1170.826,,Marker: Markoff: 2
+1171.163,,Marker: Markon: 2
+1171.2815651,,spindle
+1175.2677601,,spindle
+1179.235836,,spindle
+1183.235,,spindle
+1186.8678463,,spindle
+1200.4830318,,spindle
+1200.826,,Marker: Markoff: 2
+1201.163,,Marker: Markon: 2
+1204.139201,,spindle
+1211.680616,,spindle
+1218.1853614,,spindle
+1222.062842,,spindle
+1226.1473977,,spindle
+1230.5050336,,spindle
+1230.826,,Marker: Markoff: 2
+1231.163,,Marker: Markon: 2
+1239.0520569,,spindle
+1242.2228938,,spindle
+1260.826,,Marker: Markoff: 2
+1261.163,,Marker: Markon: 2
+1269.2099516,,spindle
+1281.2992527,,spindle
+1290.826,,Marker: Markoff: 2
+1291.163,,Marker: Markon: 2
+1293.9489507,,spindle
+1295.8863968,,spindle
+1308.507622,,spindle
+1320.826,,Marker: Markoff: 2
+1321.163,,Marker: Markon: 2
+1321.5041708,,spindle
+1335.5451544,,spindle
